Airport,Airport Code,Year,Month,TOTAL
Washighton Dulles International,IAD,2002,10,"687,622"
Washighton Dulles International,IAD,2002,11,"632,424"
Washighton Dulles International,IAD,2002,12,"715,154"
Washighton Dulles International,IAD,2002,TOTAL,"6,892,684"
Washighton Dulles International,IAD,2003,1,"591,077"
Washighton Dulles International,IAD,2003,2,"498,765"
Washighton Dulles International,IAD,2003,3,"635,208"
Washighton Dulles International,IAD,2003,4,"635,200"
Washighton Dulles International,IAD,2003,5,"696,334"
Washighton Dulles International,IAD,2003,6,"748,377"
Washighton Dulles International,IAD,2003,7,"782,242"
Washighton Dulles International,IAD,2003,8,"761,622"
Washighton Dulles International,IAD,2003,9,"622,422"
Washighton Dulles International,IAD,2003,10,"703,242"
Washighton Dulles International,IAD,2003,11,"648,801"
Washighton Dulles International,IAD,2003,12,"704,368"
Washighton Dulles International,IAD,2003,TOTAL,"8,027,658"
Washighton Dulles International,IAD,2004,1,"601,016"
Washighton Dulles International,IAD,2004,2,"600,624"
Washighton Dulles International,IAD,2004,3,"745,139"
Washighton Dulles International,IAD,2004,4,"780,789"
Washighton Dulles International,IAD,2004,5,"804,272"
Washighton Dulles International,IAD,2004,6,"912,658"
Washighton Dulles International,IAD,2004,7,"1,051,547"
Washighton Dulles International,IAD,2004,8,"1,114,482"
Washighton Dulles International,IAD,2004,9,"1,001,293"
Washighton Dulles International,IAD,2004,10,"1,159,604"
Washighton Dulles International,IAD,2004,11,"1,057,491"
Washighton Dulles International,IAD,2004,12,"1,099,824"
Washighton Dulles International,IAD,2004,TOTAL,"10,928,739"
Washighton Dulles International,IAD,2005,1,"947,683"
Washighton Dulles International,IAD,2005,2,"906,389"
Washighton Dulles International,IAD,2005,3,"1,150,876"
Washighton Dulles International,IAD,2005,4,"1,096,484"
Washighton Dulles International,IAD,2005,5,"1,195,207"
Washighton Dulles International,IAD,2005,6,"1,215,218"
Washighton Dulles International,IAD,2005,7,"1,258,285"
Washighton Dulles International,IAD,2005,8,"1,179,926"
Washighton Dulles International,IAD,2005,9,"1,025,075"
Washighton Dulles International,IAD,2005,10,"1,053,783"
