Airport,Airport Code,Year,Month,TOTAL
Ronald Reagan Washington International,DCA,2002,10,"582,629"
Ronald Reagan Washington International,DCA,2002,11,"545,268"
Ronald Reagan Washington International,DCA,2002,12,"566,275"
Ronald Reagan Washington International,DCA,2002,TOTAL,"5,816,286"
Ronald Reagan Washington International,DCA,2003,1,"451,085"
Ronald Reagan Washington International,DCA,2003,2,"449,937"
Ronald Reagan Washington International,DCA,2003,3,"576,285"
Ronald Reagan Washington International,DCA,2003,4,"590,676"
Ronald Reagan Washington International,DCA,2003,5,"620,369"
Ronald Reagan Washington International,DCA,2003,6,"609,281"
Ronald Reagan Washington International,DCA,2003,7,"601,214"
Ronald Reagan Washington International,DCA,2003,8,"579,790"
Ronald Reagan Washington International,DCA,2003,9,"496,136"
Ronald Reagan Washington International,DCA,2003,10,"641,211"
Ronald Reagan Washington International,DCA,2003,11,"602,022"
Ronald Reagan Washington International,DCA,2003,12,"592,678"
Ronald Reagan Washington International,DCA,2003,TOTAL,"6,810,684"
Ronald Reagan Washington International,DCA,2004,1,"467,839"
Ronald Reagan Washington International,DCA,2004,2,"553,928"
Ronald Reagan Washington International,DCA,2004,3,"665,490"
Ronald Reagan Washington International,DCA,2004,4,"698,146"
Ronald Reagan Washington International,DCA,2004,5,"681,946"
Ronald Reagan Washington International,DCA,2004,6,"690,164"
Ronald Reagan Washington International,DCA,2004,7,"677,261"
Ronald Reagan Washington International,DCA,2004,8,"631,644"
Ronald Reagan Washington International,DCA,2004,9,"591,900"
Ronald Reagan Washington International,DCA,2004,10,"705,448"
Ronald Reagan Washington International,DCA,2004,11,"655,888"
Ronald Reagan Washington International,DCA,2004,12,"640,365"
Ronald Reagan Washington International,DCA,2004,TOTAL,"7,660,019"
Ronald Reagan Washington International,DCA,2005,1,"543,247"
Ronald Reagan Washington International,DCA,2005,2,"592,174"
Ronald Reagan Washington International,DCA,2005,3,"785,085"
Ronald Reagan Washington International,DCA,2005,4,"762,803"
Ronald Reagan Washington International,DCA,2005,5,"796,050"
Ronald Reagan Washington International,DCA,2005,6,"795,552"
Ronald Reagan Washington International,DCA,2005,7,"786,702"
Ronald Reagan Washington International,DCA,2005,8,"724,538"
Ronald Reagan Washington International,DCA,2005,9,"673,106"
Ronald Reagan Washington International,DCA,2005,10,"723,949"
Ronald Reagan Washington International,DCA,2005,11,"728,735"
Ronald Reagan Washington International,DCA,2005,12,"711,825"
Ronald Reagan Washington International,DCA,2005,TOTAL,"8,623,766"
Ronald Reagan Washington International,DCA,2006,1,"591,490"
Ronald Reagan Washington International,DCA,2006,2,"632,415"
Ronald Reagan Washington International,DCA,2006,3,"814,234"
Ronald Reagan Washington International,DCA,2006,4,"815,932"
Ronald Reagan Washington International,DCA,2006,5,"827,894"
Ronald Reagan Washington International,DCA,2006,6,"839,076"
Ronald Reagan Washington International,DCA,2006,7,"790,566"
Ronald Reagan Washington International,DCA,2006,8,"755,543"
Ronald Reagan Washington International,DCA,2006,9,"666,002"
Ronald Reagan Washington International,DCA,2006,10,"773,824"
Ronald Reagan Washington International,DCA,2006,11,"749,019"
Ronald Reagan Washington International,DCA,2006,12,"715,155"
Ronald Reagan Washington International,DCA,2006,TOTAL,"8,971,150"
Ronald Reagan Washington International,DCA,2007,1,"609,087"
Ronald Reagan Washington International,DCA,2007,2,"626,476"
Ronald Reagan Washington International,DCA,2007,3,"807,633"
Ronald Reagan Washington International,DCA,2007,4,"800,753"
Ronald Reagan Washington International,DCA,2007,5,"840,011"
Ronald Reagan Washington International,DCA,2007,6,"840,453"
Ronald Reagan Washington International,DCA,2007,7,"821,513"
Ronald Reagan Washington International,DCA,2007,8,"816,066"
Ronald Reagan Washington International,DCA,2007,9,"677,820"
Ronald Reagan Washington International,DCA,2007,10,"795,317"
Ronald Reagan Washington International,DCA,2007,11,"741,399"
Ronald Reagan Washington International,DCA,2007,12,"657,933"
Ronald Reagan Washington International,DCA,2007,TOTAL,"9,034,461"
Ronald Reagan Washington International,DCA,2008,1,"585,929"
Ronald Reagan Washington International,DCA,2008,2,"630,344"
Ronald Reagan Washington International,DCA,2008,3,"764,095"
Ronald Reagan Washington International,DCA,2008,4,"770,340"
Ronald Reagan Washington International,DCA,2008,5,"803,942"
Ronald Reagan Washington International,DCA,2008,6,"793,082"
Ronald Reagan Washington International,DCA,2008,7,"804,644"
Ronald Reagan Washington International,DCA,2008,8,"766,727"
Ronald Reagan Washington International,DCA,2008,9,"655,699"
Ronald Reagan Washington International,DCA,2008,10,"764,999"
Ronald Reagan Washington International,DCA,2008,11,"662,739"
Ronald Reagan Washington International,DCA,2008,12,"693,720"
Ronald Reagan Washington International,DCA,2008,TOTAL,"8,696,260"
Ronald Reagan Washington International,DCA,2009,1,"572,307"
Ronald Reagan Washington International,DCA,2009,2,"593,624"
Ronald Reagan Washington International,DCA,2009,3,"724,073"
Ronald Reagan Washington International,DCA,2009,4,"762,897"
Ronald Reagan Washington International,DCA,2009,5,"759,191"
Ronald Reagan Washington International,DCA,2009,6,"772,625"
Ronald Reagan Washington International,DCA,2009,7,"794,726"
Ronald Reagan Washington International,DCA,2009,8,"745,978"
Ronald Reagan Washington International,DCA,2009,9,"660,953"
Ronald Reagan Washington International,DCA,2009,10,"766,746"
Ronald Reagan Washington International,DCA,2009,11,"681,371"
Ronald Reagan Washington International,DCA,2009,12,"646,714"
Ronald Reagan Washington International,DCA,2009,TOTAL,"8,481,205"
Ronald Reagan Washington International,DCA,2010,1,"565,908"
Ronald Reagan Washington International,DCA,2010,2,"491,971"
Ronald Reagan Washington International,DCA,2010,3,"775,779"
Ronald Reagan Washington International,DCA,2010,4,"766,055"
Ronald Reagan Washington International,DCA,2010,5,"777,917"
Ronald Reagan Washington International,DCA,2010,6,"781,655"
Ronald Reagan Washington International,DCA,2010,7,"788,318"
Ronald Reagan Washington International,DCA,2010,8,"779,680"
Ronald Reagan Washington International,DCA,2010,9,"709,606"
Ronald Reagan Washington International,DCA,2010,10,"811,165"
Ronald Reagan Washington International,DCA,2010,11,"753,573"
Ronald Reagan Washington International,DCA,2010,12,"724,556"
Ronald Reagan Washington International,DCA,2010,TOTAL,"8,726,183"
Ronald Reagan Washington International,DCA,2011,1,"588,451"
Ronald Reagan Washington International,DCA,2011,2,"599,436"
Ronald Reagan Washington International,DCA,2011,3,"784,455"
Ronald Reagan Washington International,DCA,2011,4,"789,394"
Ronald Reagan Washington International,DCA,2011,5,"838,025"
Ronald Reagan Washington International,DCA,2011,6,"826,033"
Ronald Reagan Washington International,DCA,2011,7,"822,026"
Ronald Reagan Washington International,DCA,2011,8,"789,646"
Ronald Reagan Washington International,DCA,2011,9,"726,023"
Ronald Reagan Washington International,DCA,2011,10,"799,802"
Ronald Reagan Washington International,DCA,2011,11,"759,786"
Ronald Reagan Washington International,DCA,2011,12,"715,995"
Ronald Reagan Washington International,DCA,2011,TOTAL,"9,039,072"
Ronald Reagan Washington International,DCA,2012,1,"595,414"
Ronald Reagan Washington International,DCA,2012,2,"620,218"
Ronald Reagan Washington International,DCA,2012,3,"797,914"
Ronald Reagan Washington International,DCA,2012,4,"796,496"
Ronald Reagan Washington International,DCA,2012,5,"828,304"
Ronald Reagan Washington International,DCA,2012,6,"850,364"
Ronald Reagan Washington International,DCA,2012,7,"866,444"
Ronald Reagan Washington International,DCA,2012,8,"897,214"
Ronald Reagan Washington International,DCA,2012,9,"762,713"
Ronald Reagan Washington International,DCA,2012,10,"839,317"
Ronald Reagan Washington International,DCA,2012,11,"823,885"
Ronald Reagan Washington International,DCA,2012,12,"772,850"
Ronald Reagan Washington International,DCA,2012,TOTAL,"9,451,133"
Ronald Reagan Washington International,DCA,2013,1,"701,756"
Ronald Reagan Washington International,DCA,2013,2,"682,962"
Ronald Reagan Washington International,DCA,2013,3,"865,268"
Ronald Reagan Washington International,DCA,2013,4,"842,708"
Ronald Reagan Washington International,DCA,2013,5,"910,411"
Ronald Reagan Washington International,DCA,2013,6,"881,452"
Ronald Reagan Washington International,DCA,2013,7,"890,110"
Ronald Reagan Washington International,DCA,2013,8,"885,401"
Ronald Reagan Washington International,DCA,2013,9,"749,514"
Ronald Reagan Washington International,DCA,2013,10,"844,394"
Ronald Reagan Washington International,DCA,2013,11,"782,099"
Ronald Reagan Washington International,DCA,2013,12,"806,940"
Ronald Reagan Washington International,DCA,2013,TOTAL,"9,843,015"
Ronald Reagan Washington International,DCA,2014,1,"698,104"
Ronald Reagan Washington International,DCA,2014,2,"663,566"
Ronald Reagan Washington International,DCA,2014,3,"831,329"
Ronald Reagan Washington International,DCA,2014,4,"886,144"
Ronald Reagan Washington International,DCA,2014,5,"928,600"
Ronald Reagan Washington International,DCA,2014,6,"882,225"
Ronald Reagan Washington International,DCA,2014,7,"874,146"
Ronald Reagan Washington International,DCA,2014,8,"880,373"
Ronald Reagan Washington International,DCA,2014,9,"797,202"
Ronald Reagan Washington International,DCA,2014,10,"926,194"
Ronald Reagan Washington International,DCA,2014,11,"849,846"
Ronald Reagan Washington International,DCA,2014,12,"876,799"
Ronald Reagan Washington International,DCA,2014,TOTAL,"10,094,528"
Ronald Reagan Washington International,DCA,2015,1,"728,326"
Ronald Reagan Washington International,DCA,2015,2,"723,959"
Ronald Reagan Washington International,DCA,2015,3,"942,949"
Ronald Reagan Washington International,DCA,2015,4,"969,959"
Ronald Reagan Washington International,DCA,2015,5,"1,029,783"
Ronald Reagan Washington International,DCA,2015,6,"994,668"
Ronald Reagan Washington International,DCA,2015,7,"1,041,012"
Ronald Reagan Washington International,DCA,2015,8,"990,564"
Ronald Reagan Washington International,DCA,2015,9,"908,058"
Ronald Reagan Washington International,DCA,2015,10,"1,048,435"
Ronald Reagan Washington International,DCA,2015,11,"942,941"
Ronald Reagan Washington International,DCA,2015,12,"908,571"
Ronald Reagan Washington International,DCA,2015,TOTAL,"11,229,225"
Ronald Reagan Washington International,DCA,2016,1,"735,318"
Ronald Reagan Washington International,DCA,2016,2,"793,389"
Ronald Reagan Washington International,DCA,2016,3,"1,019,407"
Ronald Reagan Washington International,DCA,2016,4,"986,177"
Ronald Reagan Washington International,DCA,2016,5,"1,047,145"
Ronald Reagan Washington International,DCA,2016,6,"1,022,999"
Ronald Reagan Washington International,DCA,2016,7,"1,012,976"
Ronald Reagan Washington International,DCA,2016,8,"991,353"
Ronald Reagan Washington International,DCA,2016,9,"947,176"
Ronald Reagan Washington International,DCA,2016,10,"1,017,946"
Ronald Reagan Washington International,DCA,2016,11,"951,955"
Ronald Reagan Washington International,DCA,2016,12,"924,171"
Ronald Reagan Washington International,DCA,2016,TOTAL,"11,450,012"
Ronald Reagan Washington International,DCA,2017,1,"822,238"
Ronald Reagan Washington International,DCA,2017,2,"781,680"
Ronald Reagan Washington International,DCA,2017,3,"1,005,250"
Ronald Reagan Washington International,DCA,2017,4,"986,430"
Ronald Reagan Washington International,DCA,2017,5,"1,028,678"
Ronald Reagan Washington International,DCA,2017,6,"1,031,981"
Ronald Reagan Washington International,DCA,2017,7,"1,000,632"
Ronald Reagan Washington International,DCA,2017,8,"1,014,341"
Ronald Reagan Washington International,DCA,2017,9,"890,464"
Ronald Reagan Washington International,DCA,2017,10,"1,035,867"
Ronald Reagan Washington International,DCA,2017,11,"976,496"
Ronald Reagan Washington International,DCA,2017,12,"911,995"
Ronald Reagan Washington International,DCA,2017,TOTAL,"11,486,052"
Ronald Reagan Washington International,DCA,2018,1,"766,138"
Ronald Reagan Washington International,DCA,2018,2,"795,350"
Ronald Reagan Washington International,DCA,2018,3,"982,027"
Ronald Reagan Washington International,DCA,2018,4,"992,053"
Ronald Reagan Washington International,DCA,2018,5,"1,023,419"
Ronald Reagan Washington International,DCA,2018,6,"1,040,217"
Ronald Reagan Washington International,DCA,2018,7,"1,008,265"
Ronald Reagan Washington International,DCA,2018,8,"1,008,862"
Ronald Reagan Washington International,DCA,2018,9,"851,080"
Ronald Reagan Washington International,DCA,2018,10,"1,009,192"
Ronald Reagan Washington International,DCA,2018,11,"963,252"
Ronald Reagan Washington International,DCA,2018,12,"906,759"
Ronald Reagan Washington International,DCA,2018,TOTAL,"11,346,614"
Ronald Reagan Washington International,DCA,2019,1,"768,120"
Ronald Reagan Washington International,DCA,2019,2,"790,008"
Ronald Reagan Washington International,DCA,2019,3,"1,012,277"
Ronald Reagan Washington International,DCA,2019,4,"1,014,901"
Ronald Reagan Washington International,DCA,2019,5,"1,064,946"
Ronald Reagan Washington International,DCA,2019,6,"1,028,257"
Ronald Reagan Washington International,DCA,2019,7,"1,010,200"
Ronald Reagan Washington International,DCA,2019,8,"1,007,436"
Ronald Reagan Washington International,DCA,2019,9,"912,472"
Ronald Reagan Washington International,DCA,2019,10,"1,035,283"
Ronald Reagan Washington International,DCA,2019,11,"947,325"
Ronald Reagan Washington International,DCA,2019,12,"984,839"
Ronald Reagan Washington International,DCA,2019,TOTAL,"11,576,064"
Ronald Reagan Washington International,DCA,2020,1,"827,480"
Ronald Reagan Washington International,DCA,2020,2,"847,130"
Ronald Reagan Washington International,DCA,2020,3,"436,950"
Ronald Reagan Washington International,DCA,2020,4,"26,762"
Ronald Reagan Washington International,DCA,2020,5,"58,342"
Ronald Reagan Washington International,DCA,2020,6,"172,846"
Ronald Reagan Washington International,DCA,2020,7,"211,714"
Ronald Reagan Washington International,DCA,2020,8,"265,043"
Ronald Reagan Washington International,DCA,2020,9,"187,279"
Ronald Reagan Washington International,DCA,2020,10,"214,664"
Ronald Reagan Washington International,DCA,2020,11,"194,487"
Ronald Reagan Washington International,DCA,2020,12,"193,515"
Ronald Reagan Washington International,DCA,2020,TOTAL,"3,636,212"
Ronald Reagan Washington International,DCA,2021,1,"149,467"
Ronald Reagan Washington International,DCA,2021,2,"145,241"
Ronald Reagan Washington International,DCA,2021,3,"281,971"
Ronald Reagan Washington International,DCA,2021,4,"432,510"
Ronald Reagan Washington International,DCA,2021,5,"537,689"
Ronald Reagan Washington International,DCA,2021,6,"646,736"
Ronald Reagan Washington International,DCA,2021,7,"725,023"
Ronald Reagan Washington International,DCA,2021,8,"689,153"
Ronald Reagan Washington International,DCA,2021,9,"624,531"
Ronald Reagan Washington International,DCA,2021,10,"732,589"
Ronald Reagan Washington International,DCA,2021,11,"870,700"
Ronald Reagan Washington International,DCA,2021,12,"888,798"
Ronald Reagan Washington International,DCA,2021,TOTAL,"6,724,408"
Ronald Reagan Washington International,DCA,2022,1,
Ronald Reagan Washington International,DCA,2022,2,
Ronald Reagan Washington International,DCA,2022,3,
Ronald Reagan Washington International,DCA,2022,TOTAL,0
