Airport,Airport Code,Year,Month,TOTAL
Los Angeles International,LAX,2002,10,"57,633,352"
Los Angeles International,LAX,2002,11,"53,866,781"
Los Angeles International,LAX,2002,12,"59,723,147"
Los Angeles International,LAX,2002,TOTAL,"670,604,493"
Los Angeles International,LAX,2003,1,"52,758,886"
Los Angeles International,LAX,2003,2,"49,450,152"
Los Angeles International,LAX,2003,3,"59,531,353"
Los Angeles International,LAX,2003,4,"55,342,565"
Los Angeles International,LAX,2003,5,"57,954,225"
Los Angeles International,LAX,2003,6,"62,557,416"
Los Angeles International,LAX,2003,7,"67,515,979"
Los Angeles International,LAX,2003,8,"65,720,645"
Los Angeles International,LAX,2003,9,"53,668,055"
Los Angeles International,LAX,2003,10,"59,553,293"
Los Angeles International,LAX,2003,11,"56,541,381"
Los Angeles International,LAX,2003,12,"60,269,671"
Los Angeles International,LAX,2003,TOTAL,"700,863,621"
Los Angeles International,LAX,2004,1,"54,067,924"
Los Angeles International,LAX,2004,2,"54,616,961"
Los Angeles International,LAX,2004,3,"65,123,667"
Los Angeles International,LAX,2004,4,"64,055,216"
Los Angeles International,LAX,2004,5,"64,002,127"
Los Angeles International,LAX,2004,6,"69,118,656"
Los Angeles International,LAX,2004,7,"73,117,200"
Los Angeles International,LAX,2004,8,"70,584,439"
Los Angeles International,LAX,2004,9,"58,242,467"
Los Angeles International,LAX,2004,10,"64,939,666"
Los Angeles International,LAX,2004,11,"61,956,884"
Los Angeles International,LAX,2004,12,"63,884,484"
Los Angeles International,LAX,2004,TOTAL,"763,709,691"
Los Angeles International,LAX,2005,1,"59,364,932"
Los Angeles International,LAX,2005,2,"57,019,949"
Los Angeles International,LAX,2005,3,"71,318,618"
Los Angeles International,LAX,2005,4,"66,430,033"
Los Angeles International,LAX,2005,5,"69,488,476"
Los Angeles International,LAX,2005,6,"72,864,122"
Los Angeles International,LAX,2005,7,"76,817,655"
Los Angeles International,LAX,2005,8,"72,813,967"
Los Angeles International,LAX,2005,9,"61,926,125"
Los Angeles International,LAX,2005,10,"64,845,679"
Los Angeles International,LAX,2005,11,"63,346,503"
Los Angeles International,LAX,2005,12,"64,613,850"
Los Angeles International,LAX,2005,TOTAL,"800,849,909"
Los Angeles International,LAX,2006,1,"60,610,141"
Los Angeles International,LAX,2006,2,"57,515,417"
Los Angeles International,LAX,2006,3,"70,993,252"
Los Angeles International,LAX,2006,4,"68,447,692"
Los Angeles International,LAX,2006,5,"69,755,986"
Los Angeles International,LAX,2006,6,"72,987,956"
Los Angeles International,LAX,2006,7,"75,751,227"
Los Angeles International,LAX,2006,8,"72,475,029"
Los Angeles International,LAX,2006,9,"61,960,473"
Los Angeles International,LAX,2006,10,"66,606,214"
Los Angeles International,LAX,2006,11,"65,074,896"
Los Angeles International,LAX,2006,12,"65,924,928"
Los Angeles International,LAX,2006,TOTAL,"808,103,211"
Los Angeles International,LAX,2007,1,"62,094,610"
Los Angeles International,LAX,2007,2,"58,358,001"
Los Angeles International,LAX,2007,3,"72,491,607"
Los Angeles International,LAX,2007,4,"70,193,784"
Los Angeles International,LAX,2007,5,"72,258,160"
Los Angeles International,LAX,2007,6,"75,664,811"
Los Angeles International,LAX,2007,7,"78,928,090"
Los Angeles International,LAX,2007,8,"77,791,475"
Los Angeles International,LAX,2007,9,"64,642,836"
Los Angeles International,LAX,2007,10,"69,601,556"
Los Angeles International,LAX,2007,11,"67,070,597"
Los Angeles International,LAX,2007,12,"66,414,895"
Los Angeles International,LAX,2007,TOTAL,"835,510,422"
Los Angeles International,LAX,2008,1,"63,039,614"
Los Angeles International,LAX,2008,2,"61,795,763"
Los Angeles International,LAX,2008,3,"73,435,041"
Los Angeles International,LAX,2008,4,"68,594,907"
Los Angeles International,LAX,2008,5,"71,676,019"
Los Angeles International,LAX,2008,6,"74,006,675"
Los Angeles International,LAX,2008,7,"76,890,108"
Los Angeles International,LAX,2008,8,"74,335,965"
Los Angeles International,LAX,2008,9,"59,439,795"
Los Angeles International,LAX,2008,10,"64,908,538"
Los Angeles International,LAX,2008,11,"58,946,452"
Los Angeles International,LAX,2008,12,"62,753,016"
Los Angeles International,LAX,2008,TOTAL,"809,821,893"
Los Angeles International,LAX,2009,1,"56,900,323"
Los Angeles International,LAX,2009,2,"54,093,004"
Los Angeles International,LAX,2009,3,"66,043,684"
Los Angeles International,LAX,2009,4,"64,877,586"
Los Angeles International,LAX,2009,5,"64,757,794"
Los Angeles International,LAX,2009,6,"69,097,663"
Los Angeles International,LAX,2009,7,"74,422,572"
Los Angeles International,LAX,2009,8,"71,413,001"
Los Angeles International,LAX,2009,9,"59,894,800"
Los Angeles International,LAX,2009,10,"64,184,934"
Los Angeles International,LAX,2009,11,"59,678,546"
Los Angeles International,LAX,2009,12,"62,452,681"
Los Angeles International,LAX,2009,TOTAL,"767,816,588"
Los Angeles International,LAX,2010,1,"57,895,059"
Los Angeles International,LAX,2010,2,"53,134,779"
Los Angeles International,LAX,2010,3,"67,703,397"
Los Angeles International,LAX,2010,4,"64,896,774"
Los Angeles International,LAX,2010,5,"67,223,086"
Los Angeles International,LAX,2010,6,"71,096,629"
Los Angeles International,LAX,2010,7,"75,169,345"
Los Angeles International,LAX,2010,8,"72,688,674"
Los Angeles International,LAX,2010,9,"62,903,857"
Los Angeles International,LAX,2010,10,"67,700,757"
Los Angeles International,LAX,2010,11,"63,071,833"
Los Angeles International,LAX,2010,12,"63,993,866"
Los Angeles International,LAX,2010,TOTAL,"787,478,056"
Los Angeles International,LAX,2011,1,"58,973,763"
Los Angeles International,LAX,2011,2,"54,602,428"
Los Angeles International,LAX,2011,3,"69,123,133"
Los Angeles International,LAX,2011,4,"66,395,631"
Los Angeles International,LAX,2011,5,"69,917,366"
Los Angeles International,LAX,2011,6,"72,593,371"
Los Angeles International,LAX,2011,7,"76,934,242"
Los Angeles International,LAX,2011,8,"73,157,273"
Los Angeles International,LAX,2011,9,"64,203,054"
Los Angeles International,LAX,2011,10,"67,324,276"
Los Angeles International,LAX,2011,11,"63,816,216"
Los Angeles International,LAX,2011,12,"65,094,040"
Los Angeles International,LAX,2011,TOTAL,"802,134,793"
Los Angeles International,LAX,2012,1,"60,287,641"
Los Angeles International,LAX,2012,2,"58,138,329"
Los Angeles International,LAX,2012,3,"70,588,068"
Los Angeles International,LAX,2012,4,"67,686,947"
Los Angeles International,LAX,2012,5,"70,040,634"
Los Angeles International,LAX,2012,6,"73,485,628"
Los Angeles International,LAX,2012,7,"76,657,857"
Los Angeles International,LAX,2012,8,"75,262,947"
Los Angeles International,LAX,2012,9,"63,926,218"
Los Angeles International,LAX,2012,10,"67,177,431"
Los Angeles International,LAX,2012,11,"64,608,329"
Los Angeles International,LAX,2012,12,"65,263,336"
Los Angeles International,LAX,2012,TOTAL,"813,123,365"
Los Angeles International,LAX,2013,1,"61,585,678"
Los Angeles International,LAX,2013,2,"57,777,742"
Los Angeles International,LAX,2013,3,"71,752,871"
Los Angeles International,LAX,2013,4,"67,530,194"
Los Angeles International,LAX,2013,5,"71,916,594"
Los Angeles International,LAX,2013,6,"74,393,988"
Los Angeles International,LAX,2013,7,"77,059,347"
Los Angeles International,LAX,2013,8,"75,781,847"
Los Angeles International,LAX,2013,9,"65,134,302"
Los Angeles International,LAX,2013,10,"69,047,967"
Los Angeles International,LAX,2013,11,"63,803,009"
Los Angeles International,LAX,2013,12,"69,538,524"
Los Angeles International,LAX,2013,TOTAL,"825,322,063"
