Airport,Airport Code,Year,Month,TOTAL
John F. Kennedy International,JFK,2002,10,"1,211,152"
John F. Kennedy International,JFK,2002,11,"1,138,298"
John F. Kennedy International,JFK,2002,12,"1,369,542"
John F. Kennedy International,JFK,2002,TOTAL,"14,452,771"
John F. Kennedy International,JFK,2003,1,"1,161,649"
John F. Kennedy International,JFK,2003,2,"1,034,191"
John F. Kennedy International,JFK,2003,3,"1,173,354"
John F. Kennedy International,JFK,2003,4,"1,132,618"
John F. Kennedy International,JFK,2003,5,"1,180,972"
John F. Kennedy International,JFK,2003,6,"1,346,636"
John F. Kennedy International,JFK,2003,7,"1,568,663"
John F. Kennedy International,JFK,2003,8,"1,535,692"
John F. Kennedy International,JFK,2003,9,"1,201,772"
John F. Kennedy International,JFK,2003,10,"1,300,822"
John F. Kennedy International,JFK,2003,11,"1,277,543"
John F. Kennedy International,JFK,2003,12,"1,484,193"
John F. Kennedy International,JFK,2003,TOTAL,"15,398,105"
John F. Kennedy International,JFK,2004,1,"1,262,321"
John F. Kennedy International,JFK,2004,2,"1,220,258"
John F. Kennedy International,JFK,2004,3,"1,434,064"
John F. Kennedy International,JFK,2004,4,"1,502,396"
John F. Kennedy International,JFK,2004,5,"1,498,390"
John F. Kennedy International,JFK,2004,6,"1,673,672"
John F. Kennedy International,JFK,2004,7,"1,873,173"
John F. Kennedy International,JFK,2004,8,"1,863,399"
John F. Kennedy International,JFK,2004,9,"1,427,341"
John F. Kennedy International,JFK,2004,10,"1,528,188"
John F. Kennedy International,JFK,2004,11,"1,480,610"
John F. Kennedy International,JFK,2004,12,"1,669,123"
John F. Kennedy International,JFK,2004,TOTAL,"18,432,935"
John F. Kennedy International,JFK,2005,1,"1,459,301"
John F. Kennedy International,JFK,2005,2,"1,366,024"
John F. Kennedy International,JFK,2005,3,"1,697,570"
John F. Kennedy International,JFK,2005,4,"1,643,138"
John F. Kennedy International,JFK,2005,5,"1,710,476"
John F. Kennedy International,JFK,2005,6,"1,803,851"
John F. Kennedy International,JFK,2005,7,"2,056,833"
John F. Kennedy International,JFK,2005,8,"1,969,585"
John F. Kennedy International,JFK,2005,9,"1,532,687"
John F. Kennedy International,JFK,2005,10,"1,552,728"
John F. Kennedy International,JFK,2005,11,"1,573,579"
John F. Kennedy International,JFK,2005,12,"1,720,269"
John F. Kennedy International,JFK,2005,TOTAL,"20,086,041"
John F. Kennedy International,JFK,2006,1,"1,493,710"
John F. Kennedy International,JFK,2006,2,"1,348,915"
John F. Kennedy International,JFK,2006,3,"1,667,494"
John F. Kennedy International,JFK,2006,4,"1,732,014"
John F. Kennedy International,JFK,2006,5,"1,695,176"
John F. Kennedy International,JFK,2006,6,"1,877,116"
John F. Kennedy International,JFK,2006,7,"2,097,983"
John F. Kennedy International,JFK,2006,8,"2,038,637"
John F. Kennedy International,JFK,2006,9,"1,712,815"
John F. Kennedy International,JFK,2006,10,"1,768,209"
John F. Kennedy International,JFK,2006,11,"1,735,213"
John F. Kennedy International,JFK,2006,12,"1,903,964"
John F. Kennedy International,JFK,2006,TOTAL,"21,071,246"
John F. Kennedy International,JFK,2007,1,"1,670,337"
John F. Kennedy International,JFK,2007,2,"1,460,879"
John F. Kennedy International,JFK,2007,3,"1,906,054"
John F. Kennedy International,JFK,2007,4,"1,898,998"
John F. Kennedy International,JFK,2007,5,"1,991,279"
John F. Kennedy International,JFK,2007,6,"2,135,686"
John F. Kennedy International,JFK,2007,7,"2,292,419"
John F. Kennedy International,JFK,2007,8,"2,279,369"
John F. Kennedy International,JFK,2007,9,"1,859,564"
John F. Kennedy International,JFK,2007,10,"1,924,448"
John F. Kennedy International,JFK,2007,11,"1,871,811"
John F. Kennedy International,JFK,2007,12,"1,979,271"
John F. Kennedy International,JFK,2007,TOTAL,"23,270,115"
John F. Kennedy International,JFK,2008,1,"1,727,344"
John F. Kennedy International,JFK,2008,2,"1,621,500"
John F. Kennedy International,JFK,2008,3,"1,975,368"
John F. Kennedy International,JFK,2008,4,"1,931,661"
John F. Kennedy International,JFK,2008,5,"2,062,487"
John F. Kennedy International,JFK,2008,6,"2,159,049"
John F. Kennedy International,JFK,2008,7,"2,358,685"
John F. Kennedy International,JFK,2008,8,"2,335,034"
John F. Kennedy International,JFK,2008,9,"1,830,143"
John F. Kennedy International,JFK,2008,10,"1,893,704"
John F. Kennedy International,JFK,2008,11,"1,772,955"
John F. Kennedy International,JFK,2008,12,"1,951,424"
John F. Kennedy International,JFK,2008,TOTAL,"23,619,354"
John F. Kennedy International,JFK,2009,1,"1,643,149"
John F. Kennedy International,JFK,2009,2,"1,494,042"
John F. Kennedy International,JFK,2009,3,"1,775,811"
John F. Kennedy International,JFK,2009,4,"1,875,210"
John F. Kennedy International,JFK,2009,5,"1,941,399"
John F. Kennedy International,JFK,2009,6,"2,060,970"
John F. Kennedy International,JFK,2009,7,"2,309,001"
John F. Kennedy International,JFK,2009,8,"2,277,809"
John F. Kennedy International,JFK,2009,9,"1,822,559"
John F. Kennedy International,JFK,2009,10,"1,887,124"
John F. Kennedy International,JFK,2009,11,"1,729,130"
John F. Kennedy International,JFK,2009,12,"1,903,424"
John F. Kennedy International,JFK,2009,TOTAL,"22,719,628"
John F. Kennedy International,JFK,2010,1,"1,633,127"
John F. Kennedy International,JFK,2010,2,"1,425,604"
John F. Kennedy International,JFK,2010,3,"1,840,990"
John F. Kennedy International,JFK,2010,4,"1,733,391"
John F. Kennedy International,JFK,2010,5,"1,968,971"
John F. Kennedy International,JFK,2010,6,"2,104,780"
John F. Kennedy International,JFK,2010,7,"2,327,491"
John F. Kennedy International,JFK,2010,8,"2,263,514"
John F. Kennedy International,JFK,2010,9,"1,902,560"
John F. Kennedy International,JFK,2010,10,"1,987,743"
John F. Kennedy International,JFK,2010,11,"1,811,750"
John F. Kennedy International,JFK,2010,12,"1,892,451"
John F. Kennedy International,JFK,2010,TOTAL,"22,892,372"
John F. Kennedy International,JFK,2011,1,"1,661,664"
John F. Kennedy International,JFK,2011,2,"1,500,941"
John F. Kennedy International,JFK,2011,3,"1,882,017"
John F. Kennedy International,JFK,2011,4,"1,937,306"
John F. Kennedy International,JFK,2011,5,"2,073,177"
John F. Kennedy International,JFK,2011,6,"2,164,063"
John F. Kennedy International,JFK,2011,7,"2,395,468"
John F. Kennedy International,JFK,2011,8,"2,221,107"
John F. Kennedy International,JFK,2011,9,"1,945,686"
John F. Kennedy International,JFK,2011,10,"1,989,757"
John F. Kennedy International,JFK,2011,11,"1,844,014"
John F. Kennedy International,JFK,2011,12,"1,970,522"
John F. Kennedy International,JFK,2011,TOTAL,"23,585,722"
John F. Kennedy International,JFK,2012,1,"1,731,096"
John F. Kennedy International,JFK,2012,2,"1,602,793"
John F. Kennedy International,JFK,2012,3,"1,970,716"
John F. Kennedy International,JFK,2012,4,"1,991,554"
John F. Kennedy International,JFK,2012,5,"2,089,894"
John F. Kennedy International,JFK,2012,6,"2,278,917"
John F. Kennedy International,JFK,2012,7,"2,441,166"
John F. Kennedy International,JFK,2012,8,"2,431,649"
John F. Kennedy International,JFK,2012,9,"2,002,449"
John F. Kennedy International,JFK,2012,10,"1,918,307"
John F. Kennedy International,JFK,2012,11,"1,865,515"
John F. Kennedy International,JFK,2012,12,"2,082,197"
John F. Kennedy International,JFK,2012,TOTAL,"24,406,253"
John F. Kennedy International,JFK,2013,1,"1,838,542"
John F. Kennedy International,JFK,2013,2,"1,596,851"
John F. Kennedy International,JFK,2013,3,"2,061,929"
John F. Kennedy International,JFK,2013,4,"1,922,979"
John F. Kennedy International,JFK,2013,5,"2,181,579"
John F. Kennedy International,JFK,2013,6,"2,312,156"
John F. Kennedy International,JFK,2013,7,"2,470,425"
John F. Kennedy International,JFK,2013,8,"2,473,182"
John F. Kennedy International,JFK,2013,9,"2,034,101"
John F. Kennedy International,JFK,2013,10,"2,099,020"
John F. Kennedy International,JFK,2013,11,"1,867,007"
John F. Kennedy International,JFK,2013,12,"2,210,693"
John F. Kennedy International,JFK,2013,TOTAL,"25,068,464"
John F. Kennedy International,JFK,2014,1,"1,814,951"
John F. Kennedy International,JFK,2014,2,"1,609,059"
John F. Kennedy International,JFK,2014,3,"2,004,246"
John F. Kennedy International,JFK,2014,4,"2,151,299"
John F. Kennedy International,JFK,2014,5,"2,341,551"
John F. Kennedy International,JFK,2014,6,"2,439,849"
John F. Kennedy International,JFK,2014,7,"2,587,283"
John F. Kennedy International,JFK,2014,8,"2,646,169"
John F. Kennedy International,JFK,2014,9,"2,157,160"
John F. Kennedy International,JFK,2014,10,"2,240,846"
John F. Kennedy International,JFK,2014,11,"1,960,832"
John F. Kennedy International,JFK,2014,12,"2,316,019"
John F. Kennedy International,JFK,2014,TOTAL,"26,269,264"
John F. Kennedy International,JFK,2015,1,"1,907,627"
John F. Kennedy International,JFK,2015,2,"1,734,539"
John F. Kennedy International,JFK,2015,3,"2,106,814"
John F. Kennedy International,JFK,2015,4,"2,229,858"
John F. Kennedy International,JFK,2015,5,"2,467,185"
John F. Kennedy International,JFK,2015,6,"2,570,711"
John F. Kennedy International,JFK,2015,7,"2,788,068"
John F. Kennedy International,JFK,2015,8,"2,790,563"
John F. Kennedy International,JFK,2015,9,"2,297,781"
John F. Kennedy International,JFK,2015,10,"2,426,012"
John F. Kennedy International,JFK,2015,11,"2,142,791"
John F. Kennedy International,JFK,2015,12,"2,452,995"
John F. Kennedy International,JFK,2015,TOTAL,"27,914,944"
John F. Kennedy International,JFK,2016,1,"2,047,968"
John F. Kennedy International,JFK,2016,2,"1,917,817"
John F. Kennedy International,JFK,2016,3,"2,324,665"
John F. Kennedy International,JFK,2016,4,"2,334,149"
John F. Kennedy International,JFK,2016,5,"2,539,786"
