Airport,Airport Code,Year,Month,TOTAL
LaGuardia,LGA,2002,10,"957,000"
LaGuardia,LGA,2002,11,"936,458"
LaGuardia,LGA,2002,12,"993,246"
LaGuardia,LGA,2002,TOTAL,"10,384,227"
LaGuardia,LGA,2003,1,"811,237"
LaGuardia,LGA,2003,2,"750,996"
LaGuardia,LGA,2003,3,"881,228"
LaGuardia,LGA,2003,4,"935,085"
LaGuardia,LGA,2003,5,"984,613"
LaGuardia,LGA,2003,6,"1,009,400"
LaGuardia,LGA,2003,7,"1,063,095"
LaGuardia,LGA,2003,8,"1,065,316"
LaGuardia,LGA,2003,9,"854,647"
LaGuardia,LGA,2003,10,"1,026,335"
LaGuardia,LGA,2003,11,"981,116"
LaGuardia,LGA,2003,12,"997,003"
LaGuardia,LGA,2003,TOTAL,"11,360,071"
LaGuardia,LGA,2004,1,"804,903"
LaGuardia,LGA,2004,2,"866,703"
LaGuardia,LGA,2004,3,"996,445"
LaGuardia,LGA,2004,4,"1,082,347"
LaGuardia,LGA,2004,5,"1,039,766"
LaGuardia,LGA,2004,6,"1,080,266"
LaGuardia,LGA,2004,7,"1,103,106"
LaGuardia,LGA,2004,8,"1,139,131"
LaGuardia,LGA,2004,9,"931,038"
LaGuardia,LGA,2004,10,"1,100,387"
LaGuardia,LGA,2004,11,"1,073,949"
LaGuardia,LGA,2004,12,"1,098,735"
LaGuardia,LGA,2004,TOTAL,"12,316,776"
LaGuardia,LGA,2005,1,"923,421"
LaGuardia,LGA,2005,2,"933,837"
LaGuardia,LGA,2005,3,"1,113,858"
LaGuardia,LGA,2005,4,"1,150,380"
LaGuardia,LGA,2005,5,"1,158,868"
LaGuardia,LGA,2005,6,"1,162,133"
LaGuardia,LGA,2005,7,"1,192,314"
LaGuardia,LGA,2005,8,"1,181,872"
LaGuardia,LGA,2005,9,"1,007,188"
LaGuardia,LGA,2005,10,"1,032,272"
LaGuardia,LGA,2005,11,"1,070,084"
LaGuardia,LGA,2005,12,"1,079,423"
LaGuardia,LGA,2005,TOTAL,"13,005,650"
LaGuardia,LGA,2006,1,"941,517"
LaGuardia,LGA,2006,2,"907,823"
LaGuardia,LGA,2006,3,"1,120,395"
LaGuardia,LGA,2006,4,"1,140,163"
LaGuardia,LGA,2006,5,"1,144,045"
LaGuardia,LGA,2006,6,"1,172,779"
LaGuardia,LGA,2006,7,"1,166,280"
LaGuardia,LGA,2006,8,"1,173,279"
LaGuardia,LGA,2006,9,"968,621"
LaGuardia,LGA,2006,10,"1,069,732"
LaGuardia,LGA,2006,11,"1,063,031"
LaGuardia,LGA,2006,12,"1,050,528"
LaGuardia,LGA,2006,TOTAL,"12,918,193"
LaGuardia,LGA,2007,1,"914,537"
LaGuardia,LGA,2007,2,"862,497"
LaGuardia,LGA,2007,3,"1,059,526"
LaGuardia,LGA,2007,4,"1,086,164"
LaGuardia,LGA,2007,5,"1,117,520"
LaGuardia,LGA,2007,6,"1,114,092"
LaGuardia,LGA,2007,7,"1,154,992"
LaGuardia,LGA,2007,8,"1,207,165"
LaGuardia,LGA,2007,9,"957,561"
LaGuardia,LGA,2007,10,"1,060,695"
LaGuardia,LGA,2007,11,"1,024,081"
LaGuardia,LGA,2007,12,"964,958"
LaGuardia,LGA,2007,TOTAL,"12,523,788"
LaGuardia,LGA,2008,1,"859,810"
LaGuardia,LGA,2008,2,"844,252"
LaGuardia,LGA,2008,3,"1,005,020"
LaGuardia,LGA,2008,4,"1,002,352"
LaGuardia,LGA,2008,5,"1,038,814"
LaGuardia,LGA,2008,6,"1,023,022"
LaGuardia,LGA,2008,7,"1,098,678"
LaGuardia,LGA,2008,8,"1,090,877"
LaGuardia,LGA,2008,9,"859,124"
LaGuardia,LGA,2008,10,"955,801"
LaGuardia,LGA,2008,11,"856,667"
LaGuardia,LGA,2008,12,"927,096"
LaGuardia,LGA,2008,TOTAL,"11,561,513"
LaGuardia,LGA,2009,1,"722,178"
LaGuardia,LGA,2009,2,"716,662"
LaGuardia,LGA,2009,3,"867,213"
LaGuardia,LGA,2009,4,"922,421"
LaGuardia,LGA,2009,5,"918,648"
LaGuardia,LGA,2009,6,"961,016"
LaGuardia,LGA,2009,7,"1,087,499"
LaGuardia,LGA,2009,8,"1,085,770"
LaGuardia,LGA,2009,9,"909,111"
LaGuardia,LGA,2009,10,"994,048"
LaGuardia,LGA,2009,11,"937,615"
LaGuardia,LGA,2009,12,"956,429"
LaGuardia,LGA,2009,TOTAL,"11,078,610"
LaGuardia,LGA,2010,1,"788,952"
LaGuardia,LGA,2010,2,"720,316"
LaGuardia,LGA,2010,3,"1,006,613"
LaGuardia,LGA,2010,4,"1,020,446"
LaGuardia,LGA,2010,5,"1,063,626"
LaGuardia,LGA,2010,6,"1,062,833"
LaGuardia,LGA,2010,7,"1,117,520"
LaGuardia,LGA,2010,8,"1,154,847"
LaGuardia,LGA,2010,9,"987,638"
LaGuardia,LGA,2010,10,"1,086,107"
LaGuardia,LGA,2010,11,"1,010,979"
LaGuardia,LGA,2010,12,"968,701"
LaGuardia,LGA,2010,TOTAL,"11,988,578"
LaGuardia,LGA,2011,1,"812,353"
LaGuardia,LGA,2011,2,"778,702"
LaGuardia,LGA,2011,3,"985,325"
LaGuardia,LGA,2011,4,"1,009,994"
LaGuardia,LGA,2011,5,"1,075,473"
LaGuardia,LGA,2011,6,"1,078,427"
LaGuardia,LGA,2011,7,"1,120,677"
LaGuardia,LGA,2011,8,"1,101,405"
LaGuardia,LGA,2011,9,"971,135"
LaGuardia,LGA,2011,10,"1,042,183"
LaGuardia,LGA,2011,11,"1,005,852"
LaGuardia,LGA,2011,12,"1,001,796"
LaGuardia,LGA,2011,TOTAL,"11,983,322"
LaGuardia,LGA,2012,1,"850,513"
LaGuardia,LGA,2012,2,"833,720"
LaGuardia,LGA,2012,3,"1,013,248"
LaGuardia,LGA,2012,4,"1,085,393"
LaGuardia,LGA,2012,5,"1,118,440"
LaGuardia,LGA,2012,6,"1,124,212"
LaGuardia,LGA,2012,7,"1,202,966"
LaGuardia,LGA,2012,8,"1,286,378"
LaGuardia,LGA,2012,9,"1,053,274"
LaGuardia,LGA,2012,10,"1,101,277"
LaGuardia,LGA,2012,11,"1,013,458"
LaGuardia,LGA,2012,12,"1,114,411"
LaGuardia,LGA,2012,TOTAL,"12,797,290"
LaGuardia,LGA,2013,1,"976,380"
LaGuardia,LGA,2013,2,"899,697"
LaGuardia,LGA,2013,3,"1,164,319"
LaGuardia,LGA,2013,4,"1,104,843"
LaGuardia,LGA,2013,5,"1,167,688"
LaGuardia,LGA,2013,6,"1,170,031"
LaGuardia,LGA,2013,7,"1,225,187"
LaGuardia,LGA,2013,8,"1,270,330"
LaGuardia,LGA,2013,9,"1,033,543"
LaGuardia,LGA,2013,10,"1,167,077"
LaGuardia,LGA,2013,11,"1,045,408"
LaGuardia,LGA,2013,12,"1,166,392"
LaGuardia,LGA,2013,TOTAL,"13,390,895"
LaGuardia,LGA,2014,1,"936,835"
LaGuardia,LGA,2014,2,"850,196"
LaGuardia,LGA,2014,3,"1,121,919"
LaGuardia,LGA,2014,4,"1,167,006"
LaGuardia,LGA,2014,5,"1,209,998"
LaGuardia,LGA,2014,6,"1,197,821"
LaGuardia,LGA,2014,7,"1,252,634"
LaGuardia,LGA,2014,8,"1,271,843"
LaGuardia,LGA,2014,9,"1,058,981"
LaGuardia,LGA,2014,10,"1,175,413"
LaGuardia,LGA,2014,11,"1,081,890"
LaGuardia,LGA,2014,12,"1,194,473"
LaGuardia,LGA,2014,TOTAL,"13,519,009"
LaGuardia,LGA,2015,1,"914,281"
LaGuardia,LGA,2015,2,"916,059"
LaGuardia,LGA,2015,3,"1,165,738"
LaGuardia,LGA,2015,4,"1,207,167"
LaGuardia,LGA,2015,5,"1,249,571"
LaGuardia,LGA,2015,6,"1,280,421"
LaGuardia,LGA,2015,7,"1,364,416"
LaGuardia,LGA,2015,8,"1,355,357"
LaGuardia,LGA,2015,9,"1,160,807"
LaGuardia,LGA,2015,10,"1,288,497"
LaGuardia,LGA,2015,11,"1,183,809"
LaGuardia,LGA,2015,12,"1,233,303"
LaGuardia,LGA,2015,TOTAL,"14,319,426"
LaGuardia,LGA,2016,1,"1,013,826"
LaGuardia,LGA,2016,2,"1,000,028"
LaGuardia,LGA,2016,3,"1,274,030"
LaGuardia,LGA,2016,4,"1,253,310"
LaGuardia,LGA,2016,5,"1,319,397"
LaGuardia,LGA,2016,6,"1,345,336"
LaGuardia,LGA,2016,7,"1,349,828"
LaGuardia,LGA,2016,8,"1,339,502"
LaGuardia,LGA,2016,9,"1,177,373"
LaGuardia,LGA,2016,10,"1,256,429"
LaGuardia,LGA,2016,11,"1,213,702"
LaGuardia,LGA,2016,12,"1,215,129"
LaGuardia,LGA,2016,TOTAL,"14,757,890"
LaGuardia,LGA,2017,1,"1,020,931"
LaGuardia,LGA,2017,2,"922,928"
LaGuardia,LGA,2017,3,"1,191,668"
LaGuardia,LGA,2017,4,"1,216,326"
LaGuardia,LGA,2017,5,"1,286,340"
LaGuardia,LGA,2017,6,"1,305,072"
LaGuardia,LGA,2017,7,"1,310,918"
LaGuardia,LGA,2017,8,"1,348,720"
LaGuardia,LGA,2017,9,"1,146,739"
LaGuardia,LGA,2017,10,"1,332,897"
LaGuardia,LGA,2017,11,"1,262,321"
LaGuardia,LGA,2017,12,"1,258,320"
LaGuardia,LGA,2017,TOTAL,"14,603,180"
LaGuardia,LGA,2018,1,"1,025,231"
LaGuardia,LGA,2018,2,"1,002,807"
LaGuardia,LGA,2018,3,"1,229,429"
LaGuardia,LGA,2018,4,"1,253,195"
LaGuardia,LGA,2018,5,"1,345,263"
LaGuardia,LGA,2018,6,"1,382,326"
LaGuardia,LGA,2018,7,"1,399,237"
LaGuardia,LGA,2018,8,"1,401,709"
LaGuardia,LGA,2018,9,"1,158,176"
LaGuardia,LGA,2018,10,"1,331,072"
LaGuardia,LGA,2018,11,"1,274,042"
LaGuardia,LGA,2018,12,"1,274,579"
LaGuardia,LGA,2018,TOTAL,"15,077,066"
LaGuardia,LGA,2019,1,"1,034,188"
LaGuardia,LGA,2019,2,"1,003,870"
