Airport,Airport Code,Year,Month,TOTAL
Orlando International,MCO,2002,10,"1,030,262"
Orlando International,MCO,2002,11,"1,023,204"
Orlando International,MCO,2002,12,"1,069,349"
Orlando International,MCO,2002,TOTAL,"12,831,582"
Orlando International,MCO,2003,1,"1,060,215"
Orlando International,MCO,2003,2,"994,420"
Orlando International,MCO,2003,3,"1,235,812"
Orlando International,MCO,2003,4,"1,133,447"
Orlando International,MCO,2003,5,"1,104,189"
Orlando International,MCO,2003,6,"1,069,658"
Orlando International,MCO,2003,7,"1,196,052"
Orlando International,MCO,2003,8,"1,193,687"
Orlando International,MCO,2003,9,"855,985"
Orlando International,MCO,2003,10,"1,120,879"
Orlando International,MCO,2003,11,"1,144,411"
Orlando International,MCO,2003,12,"1,125,671"
Orlando International,MCO,2003,TOTAL,"13,234,426"
Orlando International,MCO,2004,1,"1,185,280"
Orlando International,MCO,2004,2,"1,231,837"
Orlando International,MCO,2004,3,"1,426,219"
Orlando International,MCO,2004,4,"1,382,051"
Orlando International,MCO,2004,5,"1,345,423"
Orlando International,MCO,2004,6,"1,308,604"
Orlando International,MCO,2004,7,"1,375,583"
Orlando International,MCO,2004,8,"1,280,835"
Orlando International,MCO,2004,9,"791,800"
Orlando International,MCO,2004,10,"1,261,335"
Orlando International,MCO,2004,11,"1,290,229"
Orlando International,MCO,2004,12,"1,283,787"
Orlando International,MCO,2004,TOTAL,"15,162,983"
Orlando International,MCO,2005,1,"1,361,426"
Orlando International,MCO,2005,2,"1,316,410"
Orlando International,MCO,2005,3,"1,588,825"
Orlando International,MCO,2005,4,"1,478,919"
Orlando International,MCO,2005,5,"1,446,118"
Orlando International,MCO,2005,6,"1,388,815"
Orlando International,MCO,2005,7,"1,469,302"
Orlando International,MCO,2005,8,"1,344,874"
Orlando International,MCO,2005,9,"1,074,076"
Orlando International,MCO,2005,10,"1,295,691"
Orlando International,MCO,2005,11,"1,354,631"
Orlando International,MCO,2005,12,"1,361,689"
Orlando International,MCO,2005,TOTAL,"16,480,776"
Orlando International,MCO,2006,1,"1,401,158"
Orlando International,MCO,2006,2,"1,295,160"
Orlando International,MCO,2006,3,"1,612,626"
Orlando International,MCO,2006,4,"1,580,094"
Orlando International,MCO,2006,5,"1,511,555"
Orlando International,MCO,2006,6,"1,435,559"
Orlando International,MCO,2006,7,"1,501,477"
Orlando International,MCO,2006,8,"1,395,471"
Orlando International,MCO,2006,9,"1,075,836"
Orlando International,MCO,2006,10,"1,264,719"
Orlando International,MCO,2006,11,"1,325,806"
Orlando International,MCO,2006,12,"1,348,199"
Orlando International,MCO,2006,TOTAL,"16,747,660"
Orlando International,MCO,2007,1,"1,406,831"
Orlando International,MCO,2007,2,"1,329,711"
Orlando International,MCO,2007,3,"1,605,244"
Orlando International,MCO,2007,4,"1,606,245"
Orlando International,MCO,2007,5,"1,547,101"
Orlando International,MCO,2007,6,"1,511,404"
Orlando International,MCO,2007,7,"1,579,509"
Orlando International,MCO,2007,8,"1,545,508"
Orlando International,MCO,2007,9,"1,166,257"
Orlando International,MCO,2007,10,"1,379,968"
Orlando International,MCO,2007,11,"1,439,103"
Orlando International,MCO,2007,12,"1,432,867"
Orlando International,MCO,2007,TOTAL,"17,549,748"
Orlando International,MCO,2008,1,"1,492,528"
Orlando International,MCO,2008,2,"1,476,110"
Orlando International,MCO,2008,3,"1,752,364"
Orlando International,MCO,2008,4,"1,624,546"
Orlando International,MCO,2008,5,"1,536,998"
Orlando International,MCO,2008,6,"1,486,526"
Orlando International,MCO,2008,7,"1,542,760"
Orlando International,MCO,2008,8,"1,467,104"
Orlando International,MCO,2008,9,"1,019,868"
Orlando International,MCO,2008,10,"1,251,412"
Orlando International,MCO,2008,11,"1,259,389"
Orlando International,MCO,2008,12,"1,345,540"
Orlando International,MCO,2008,TOTAL,"17,255,145"
Orlando International,MCO,2009,1,"1,338,735"
Orlando International,MCO,2009,2,"1,263,976"
Orlando International,MCO,2009,3,"1,566,222"
Orlando International,MCO,2009,4,"1,507,561"
Orlando International,MCO,2009,5,"1,397,558"
Orlando International,MCO,2009,6,"1,391,824"
Orlando International,MCO,2009,7,"1,481,762"
Orlando International,MCO,2009,8,"1,427,711"
Orlando International,MCO,2009,9,"1,060,554"
Orlando International,MCO,2009,10,"1,262,973"
Orlando International,MCO,2009,11,"1,280,622"
Orlando International,MCO,2009,12,"1,326,418"
Orlando International,MCO,2009,TOTAL,"16,305,916"
Orlando International,MCO,2010,1,"1,365,597"
Orlando International,MCO,2010,2,"1,238,293"
Orlando International,MCO,2010,3,"1,570,869"
Orlando International,MCO,2010,4,"1,543,552"
Orlando International,MCO,2010,5,"1,429,681"
Orlando International,MCO,2010,6,"1,433,525"
Orlando International,MCO,2010,7,"1,556,832"
Orlando International,MCO,2010,8,"1,465,257"
Orlando International,MCO,2010,9,"1,144,358"
Orlando International,MCO,2010,10,"1,376,115"
Orlando International,MCO,2010,11,"1,399,528"
Orlando International,MCO,2010,12,"1,431,433"
Orlando International,MCO,2010,TOTAL,"16,955,040"
Orlando International,MCO,2011,1,"1,411,498"
Orlando International,MCO,2011,2,"1,300,367"
Orlando International,MCO,2011,3,"1,654,862"
Orlando International,MCO,2011,4,"1,545,139"
Orlando International,MCO,2011,5,"1,516,710"
Orlando International,MCO,2011,6,"1,444,757"
Orlando International,MCO,2011,7,"1,572,016"
Orlando International,MCO,2011,8,"1,421,656"
Orlando International,MCO,2011,9,"1,167,991"
Orlando International,MCO,2011,10,"1,371,536"
Orlando International,MCO,2011,11,"1,390,053"
Orlando International,MCO,2011,12,"1,402,776"
Orlando International,MCO,2011,TOTAL,"17,199,361"
Orlando International,MCO,2012,1,"1,398,402"
Orlando International,MCO,2012,2,"1,360,953"
Orlando International,MCO,2012,3,"1,635,685"
Orlando International,MCO,2012,4,"1,587,005"
Orlando International,MCO,2012,5,"1,477,441"
Orlando International,MCO,2012,6,"1,459,941"
Orlando International,MCO,2012,7,"1,527,811"
Orlando International,MCO,2012,8,"1,435,000"
Orlando International,MCO,2012,9,"1,130,396"
Orlando International,MCO,2012,10,"1,307,080"
Orlando International,MCO,2012,11,"1,374,114"
Orlando International,MCO,2012,12,"1,392,678"
Orlando International,MCO,2012,TOTAL,"17,086,506"
Orlando International,MCO,2013,1,"1,398,771"
