Airport,Airport Code,Year,Month,TOTAL
Washington Dulles International,IAD,2002,10,"687,622"
Washington Dulles International,IAD,2002,11,"632,424"
Washington Dulles International,IAD,2002,12,"715,154"
Washington Dulles International,IAD,2002,TOTAL,"6,892,684"
Washington Dulles International,IAD,2003,1,"591,077"
Washington Dulles International,IAD,2003,2,"498,765"
Washington Dulles International,IAD,2003,3,"635,208"
Washington Dulles International,IAD,2003,4,"635,200"
Washington Dulles International,IAD,2003,5,"696,334"
Washington Dulles International,IAD,2003,6,"748,377"
Washington Dulles International,IAD,2003,7,"782,242"
Washington Dulles International,IAD,2003,8,"761,622"
Washington Dulles International,IAD,2003,9,"622,422"
Washington Dulles International,IAD,2003,10,"703,242"
Washington Dulles International,IAD,2003,11,"648,801"
Washington Dulles International,IAD,2003,12,"704,368"
Washington Dulles International,IAD,2003,TOTAL,"8,027,658"
Washington Dulles International,IAD,2004,1,"601,016"
Washington Dulles International,IAD,2004,2,"600,624"
Washington Dulles International,IAD,2004,3,"745,139"
Washington Dulles International,IAD,2004,4,"780,789"
Washington Dulles International,IAD,2004,5,"804,272"
Washington Dulles International,IAD,2004,6,"912,658"
Washington Dulles International,IAD,2004,7,"1,051,547"
Washington Dulles International,IAD,2004,8,"1,114,482"
Washington Dulles International,IAD,2004,9,"1,001,293"
Washington Dulles International,IAD,2004,10,"1,159,604"
Washington Dulles International,IAD,2004,11,"1,057,491"
Washington Dulles International,IAD,2004,12,"1,099,824"
Washington Dulles International,IAD,2004,TOTAL,"10,928,739"
Washington Dulles International,IAD,2005,1,"947,683"
Washington Dulles International,IAD,2005,2,"906,389"
Washington Dulles International,IAD,2005,3,"1,150,876"
Washington Dulles International,IAD,2005,4,"1,096,484"
Washington Dulles International,IAD,2005,5,"1,195,207"
Washington Dulles International,IAD,2005,6,"1,215,218"
Washington Dulles International,IAD,2005,7,"1,258,285"
Washington Dulles International,IAD,2005,8,"1,179,926"
Washington Dulles International,IAD,2005,9,"1,025,075"
Washington Dulles International,IAD,2005,10,"1,053,783"
Washington Dulles International,IAD,2005,11,"962,327"
Washington Dulles International,IAD,2005,12,"1,001,464"
Washington Dulles International,IAD,2005,TOTAL,"12,992,717"
Washington Dulles International,IAD,2006,1,"779,489"
Washington Dulles International,IAD,2006,2,"734,537"
Washington Dulles International,IAD,2006,3,"923,893"
Washington Dulles International,IAD,2006,4,"927,311"
Washington Dulles International,IAD,2006,5,"965,442"
Washington Dulles International,IAD,2006,6,"983,347"
Washington Dulles International,IAD,2006,7,"997,155"
