Airport,Airport Code,Year,Month,TOTAL
Chicago Midway International,MDW,2002,10,"675,399"
Chicago Midway International,MDW,2002,11,"601,470"
Chicago Midway International,MDW,2002,12,"681,456"
Chicago Midway International,MDW,2002,TOTAL,"7,866,379"
Chicago Midway International,MDW,2003,1,"593,500"
Chicago Midway International,MDW,2003,2,"561,673"
Chicago Midway International,MDW,2003,3,"729,983"
Chicago Midway International,MDW,2003,4,"699,931"
Chicago Midway International,MDW,2003,5,"744,550"
Chicago Midway International,MDW,2003,6,"818,198"
Chicago Midway International,MDW,2003,7,"844,387"
Chicago Midway International,MDW,2003,8,"803,980"
Chicago Midway International,MDW,2003,9,"687,000"
Chicago Midway International,MDW,2003,10,"774,771"
Chicago Midway International,MDW,2003,11,"691,275"
Chicago Midway International,MDW,2003,12,"725,094"
Chicago Midway International,MDW,2003,TOTAL,"8,674,342"
Chicago Midway International,MDW,2004,1,"591,282"
Chicago Midway International,MDW,2004,2,"644,796"
Chicago Midway International,MDW,2004,3,"815,855"
Chicago Midway International,MDW,2004,4,"816,369"
Chicago Midway International,MDW,2004,5,"789,577"
Chicago Midway International,MDW,2004,6,"879,772"
Chicago Midway International,MDW,2004,7,"922,767"
Chicago Midway International,MDW,2004,8,"877,027"
Chicago Midway International,MDW,2004,9,"694,748"
Chicago Midway International,MDW,2004,10,"775,169"
Chicago Midway International,MDW,2004,11,"683,649"
Chicago Midway International,MDW,2004,12,"710,480"
Chicago Midway International,MDW,2004,TOTAL,"9,201,491"
Chicago Midway International,MDW,2005,1,"523,347"
Chicago Midway International,MDW,2005,2,"476,548"
Chicago Midway International,MDW,2005,3,"695,286"
Chicago Midway International,MDW,2005,4,"609,179"
Chicago Midway International,MDW,2005,5,"715,657"
Chicago Midway International,MDW,2005,6,"786,347"
Chicago Midway International,MDW,2005,7,"870,177"
Chicago Midway International,MDW,2005,8,"845,713"
Chicago Midway International,MDW,2005,9,"709,764"
Chicago Midway International,MDW,2005,10,"755,983"
Chicago Midway International,MDW,2005,11,"698,503"
Chicago Midway International,MDW,2005,12,"671,180"
Chicago Midway International,MDW,2005,TOTAL,"8,357,684"
Chicago Midway International,MDW,2006,1,"575,178"
Chicago Midway International,MDW,2006,2,"591,151"
Chicago Midway International,MDW,2006,3,"779,524"
Chicago Midway International,MDW,2006,4,"741,490"
Chicago Midway International,MDW,2006,5,"781,386"
Chicago Midway International,MDW,2006,6,"850,601"
Chicago Midway International,MDW,2006,7,"879,705"
Chicago Midway International,MDW,2006,8,"848,832"
Chicago Midway International,MDW,2006,9,"676,786"
Chicago Midway International,MDW,2006,10,"763,962"
Chicago Midway International,MDW,2006,11,"717,689"
Chicago Midway International,MDW,2006,12,"691,992"
Chicago Midway International,MDW,2006,TOTAL,"8,898,296"
Chicago Midway International,MDW,2007,1,"591,844"
Chicago Midway International,MDW,2007,2,"557,586"
Chicago Midway International,MDW,2007,3,"774,759"
Chicago Midway International,MDW,2007,4,"737,607"
Chicago Midway International,MDW,2007,5,"805,979"
Chicago Midway International,MDW,2007,6,"897,828"
Chicago Midway International,MDW,2007,7,"927,016"
Chicago Midway International,MDW,2007,8,"900,284"
Chicago Midway International,MDW,2007,9,"716,825"
Chicago Midway International,MDW,2007,10,"790,877"
Chicago Midway International,MDW,2007,11,"731,421"
Chicago Midway International,MDW,2007,12,"679,142"
Chicago Midway International,MDW,2007,TOTAL,"9,111,168"
Chicago Midway International,MDW,2008,1,"568,453"
Chicago Midway International,MDW,2008,2,"576,400"
Chicago Midway International,MDW,2008,3,"760,098"
Chicago Midway International,MDW,2008,4,"700,895"
Chicago Midway International,MDW,2008,5,"741,372"
Chicago Midway International,MDW,2008,6,"754,655"
Chicago Midway International,MDW,2008,7,"745,171"
Chicago Midway International,MDW,2008,8,"731,548"
Chicago Midway International,MDW,2008,9,"599,406"
Chicago Midway International,MDW,2008,10,"682,604"
Chicago Midway International,MDW,2008,11,"560,364"
Chicago Midway International,MDW,2008,12,"581,699"
Chicago Midway International,MDW,2008,TOTAL,"8,002,665"
Chicago Midway International,MDW,2009,1,"487,686"
Chicago Midway International,MDW,2009,2,"487,053"
Chicago Midway International,MDW,2009,3,"706,370"
Chicago Midway International,MDW,2009,4,"693,600"
Chicago Midway International,MDW,2009,5,"715,931"
Chicago Midway International,MDW,2009,6,"767,549"
Chicago Midway International,MDW,2009,7,"834,537"
Chicago Midway International,MDW,2009,8,"779,106"
Chicago Midway International,MDW,2009,9,"686,845"
Chicago Midway International,MDW,2009,10,"736,942"
Chicago Midway International,MDW,2009,11,"668,659"
Chicago Midway International,MDW,2009,12,"677,649"
Chicago Midway International,MDW,2009,TOTAL,"8,241,927"
Chicago Midway International,MDW,2010,1,"558,735"
Chicago Midway International,MDW,2010,2,"520,145"
Chicago Midway International,MDW,2010,3,"750,974"
Chicago Midway International,MDW,2010,4,"717,594"
Chicago Midway International,MDW,2010,5,"751,414"
Chicago Midway International,MDW,2010,6,"787,015"
Chicago Midway International,MDW,2010,7,"825,948"
Chicago Midway International,MDW,2010,8,"784,750"
Chicago Midway International,MDW,2010,9,"677,984"
Chicago Midway International,MDW,2010,10,"751,680"
Chicago Midway International,MDW,2010,11,"698,622"
Chicago Midway International,MDW,2010,12,"680,429"
Chicago Midway International,MDW,2010,TOTAL,"8,505,290"
Chicago Midway International,MDW,2011,1,"597,821"
Chicago Midway International,MDW,2011,2,"530,989"
Chicago Midway International,MDW,2011,3,"789,718"
Chicago Midway International,MDW,2011,4,"749,491"
Chicago Midway International,MDW,2011,5,"820,397"
Chicago Midway International,MDW,2011,6,"853,925"
Chicago Midway International,MDW,2011,7,"881,360"
Chicago Midway International,MDW,2011,8,"835,504"
Chicago Midway International,MDW,2011,9,"746,338"
Chicago Midway International,MDW,2011,10,"815,695"
Chicago Midway International,MDW,2011,11,"751,904"
Chicago Midway International,MDW,2011,12,"746,039"
Chicago Midway International,MDW,2011,TOTAL,"9,119,181"
Chicago Midway International,MDW,2012,1,"605,587"
Chicago Midway International,MDW,2012,2,"591,004"
Chicago Midway International,MDW,2012,3,"817,221"
Chicago Midway International,MDW,2012,4,"769,474"
Chicago Midway International,MDW,2012,5,"830,349"
Chicago Midway International,MDW,2012,6,"892,558"
Chicago Midway International,MDW,2012,7,"916,335"
Chicago Midway International,MDW,2012,8,"880,814"
Chicago Midway International,MDW,2012,9,"762,405"
Chicago Midway International,MDW,2012,10,"849,722"
Chicago Midway International,MDW,2012,11,"754,261"
Chicago Midway International,MDW,2012,12,"748,770"
Chicago Midway International,MDW,2012,TOTAL,"9,418,500"
Chicago Midway International,MDW,2013,1,"621,060"
Chicago Midway International,MDW,2013,2,"596,490"
Chicago Midway International,MDW,2013,3,"834,508"
Chicago Midway International,MDW,2013,4,"787,234"
Chicago Midway International,MDW,2013,5,"901,812"
Chicago Midway International,MDW,2013,6,"949,663"
Chicago Midway International,MDW,2013,7,"960,867"
Chicago Midway International,MDW,2013,8,"922,097"
