Airport,Airport Code,Year,Month,TOTAL
Chicago O'Hare International,ORD,2002,10,"2,802,047"
Chicago O'Hare International,ORD,2002,11,"2,457,030"
Chicago O'Hare International,ORD,2002,12,"2,747,326"
Chicago O'Hare International,ORD,2002,TOTAL,"30,578,707"
Chicago O'Hare International,ORD,2003,1,"2,343,360"
Chicago O'Hare International,ORD,2003,2,"2,267,554"
Chicago O'Hare International,ORD,2003,3,"2,776,268"
Chicago O'Hare International,ORD,2003,4,"2,561,732"
Chicago O'Hare International,ORD,2003,5,"2,770,605"
Chicago O'Hare International,ORD,2003,6,"3,028,020"
Chicago O'Hare International,ORD,2003,7,"3,079,193"
Chicago O'Hare International,ORD,2003,8,"2,988,606"
Chicago O'Hare International,ORD,2003,9,"2,618,025"
Chicago O'Hare International,ORD,2003,10,"2,842,867"
Chicago O'Hare International,ORD,2003,11,"2,651,635"
Chicago O'Hare International,ORD,2003,12,"2,851,086"
Chicago O'Hare International,ORD,2003,TOTAL,"32,778,951"
Chicago O'Hare International,ORD,2004,1,"2,364,521"
Chicago O'Hare International,ORD,2004,2,"2,507,496"
Chicago O'Hare International,ORD,2004,3,"3,032,194"
Chicago O'Hare International,ORD,2004,4,"2,933,602"
Chicago O'Hare International,ORD,2004,5,"3,021,937"
Chicago O'Hare International,ORD,2004,6,"3,371,823"
Chicago O'Hare International,ORD,2004,7,"3,414,458"
Chicago O'Hare International,ORD,2004,8,"3,344,545"
Chicago O'Hare International,ORD,2004,9,"2,990,925"
Chicago O'Hare International,ORD,2004,10,"3,176,670"
Chicago O'Hare International,ORD,2004,11,"2,806,274"
Chicago O'Hare International,ORD,2004,12,"2,913,468"
Chicago O'Hare International,ORD,2004,TOTAL,"35,877,913"
Chicago O'Hare International,ORD,2005,1,"2,530,298"
Chicago O'Hare International,ORD,2005,2,"2,471,508"
Chicago O'Hare International,ORD,2005,3,"3,193,928"
Chicago O'Hare International,ORD,2005,4,"2,953,157"
Chicago O'Hare International,ORD,2005,5,"3,199,262"
Chicago O'Hare International,ORD,2005,6,"3,417,966"
Chicago O'Hare International,ORD,2005,7,"3,433,022"
Chicago O'Hare International,ORD,2005,8,"3,294,343"
Chicago O'Hare International,ORD,2005,9,"3,003,384"
Chicago O'Hare International,ORD,2005,10,"3,135,577"
Chicago O'Hare International,ORD,2005,11,"2,938,565"
Chicago O'Hare International,ORD,2005,12,"2,972,119"
Chicago O'Hare International,ORD,2005,TOTAL,"36,543,129"
Chicago O'Hare International,ORD,2006,1,"2,701,554"
Chicago O'Hare International,ORD,2006,2,"2,600,651"
Chicago O'Hare International,ORD,2006,3,"3,236,192"
Chicago O'Hare International,ORD,2006,4,"3,023,081"
Chicago O'Hare International,ORD,2006,5,"3,235,856"
Chicago O'Hare International,ORD,2006,6,"3,411,491"
Chicago O'Hare International,ORD,2006,7,"3,405,353"
Chicago O'Hare International,ORD,2006,8,"3,264,589"
Chicago O'Hare International,ORD,2006,9,"2,938,494"
Chicago O'Hare International,ORD,2006,10,"3,133,269"
Chicago O'Hare International,ORD,2006,11,"2,923,690"
Chicago O'Hare International,ORD,2006,12,"2,849,908"
Chicago O'Hare International,ORD,2006,TOTAL,"36,724,128"
Chicago O'Hare International,ORD,2007,1,"2,729,250"
Chicago O'Hare International,ORD,2007,2,"2,486,556"
Chicago O'Hare International,ORD,2007,3,"3,227,055"
Chicago O'Hare International,ORD,2007,4,"3,010,013"
