Airport,Airport Code,Year,Month,TOTAL
Los Angeles International,LAX,2002,10," 2,140,300 "
Los Angeles International,LAX,2002,11," 2,056,282 "
Los Angeles International,LAX,2002,12," 2,333,768 "
Los Angeles International,LAX,2002,TOTAL," 26,162,631 "
Los Angeles International,LAX,2003,1," 2,097,734 "
Los Angeles International,LAX,2003,2," 1,842,343 "
Los Angeles International,LAX,2003,3," 2,111,938 "
Los Angeles International,LAX,2003,4," 1,998,382 "
Los Angeles International,LAX,2003,5," 2,096,846 "
Los Angeles International,LAX,2003,6," 2,360,270 "
Los Angeles International,LAX,2003,7," 2,561,733 "
Los Angeles International,LAX,2003,8," 2,573,496 "
Los Angeles International,LAX,2003,9," 1,957,473 "
Los Angeles International,LAX,2003,10," 2,096,662 "
Los Angeles International,LAX,2003,11," 2,098,232 "
Los Angeles International,LAX,2003,12," 2,316,595 "
Los Angeles International,LAX,2003,TOTAL," 26,111,704 "
Los Angeles International,LAX,2004,1," 2,093,894 "
Los Angeles International,LAX,2004,2," 1,995,051 "
Los Angeles International,LAX,2004,3," 2,361,151 "
Los Angeles International,LAX,2004,4," 2,394,990 "
Los Angeles International,LAX,2004,5," 2,415,206 "
Los Angeles International,LAX,2004,6," 2,664,949 "
Los Angeles International,LAX,2004,7," 2,812,408 "
Los Angeles International,LAX,2004,8," 2,800,342 "
Los Angeles International,LAX,2004,9," 2,213,575 "
Los Angeles International,LAX,2004,10," 2,365,884 "
Los Angeles International,LAX,2004,11," 2,289,708 "
Los Angeles International,LAX,2004,12," 2,454,825 "
Los Angeles International,LAX,2004,TOTAL," 28,861,983 "
Los Angeles International,LAX,2005,1," 2,255,913 "
Los Angeles International,LAX,2005,2," 2,024,900 "
Los Angeles International,LAX,2005,3," 2,494,971 "
Los Angeles International,LAX,2005,4," 2,313,462 "
Los Angeles International,LAX,2005,5," 2,482,135 "
Los Angeles International,LAX,2005,6," 2,693,412 "
Los Angeles International,LAX,2005,7," 2,855,184 "
Los Angeles International,LAX,2005,8," 2,800,841 "
Los Angeles International,LAX,2005,9," 2,298,105 "
Los Angeles International,LAX,2005,10," 2,357,848 "
Los Angeles International,LAX,2005,11," 2,302,809 "
Los Angeles International,LAX,2005,12," 2,443,292 "
Los Angeles International,LAX,2005,TOTAL," 29,322,872 "
Los Angeles International,LAX,2006,1," 2,238,554 "
Los Angeles International,LAX,2006,2," 2,043,499 "
Los Angeles International,LAX,2006,3," 2,461,548 "
Los Angeles International,LAX,2006,4," 2,443,541 "
Los Angeles International,LAX,2006,5," 2,484,869 "
Los Angeles International,LAX,2006,6," 2,698,444 "
Los Angeles International,LAX,2006,7," 2,810,431 "
Los Angeles International,LAX,2006,8," 2,748,959 "
Los Angeles International,LAX,2006,9," 2,267,203 "
Los Angeles International,LAX,2006,10," 2,349,972 "
Los Angeles International,LAX,2006,11," 2,319,493 "
Los Angeles International,LAX,2006,12," 2,491,723 "
Los Angeles International,LAX,2006,TOTAL," 29,358,236 "
Los Angeles International,LAX,2007,1," 2,250,938 "
Los Angeles International,LAX,2007,2," 2,066,601 "
Los Angeles International,LAX,2007,3," 2,539,618 "
Los Angeles International,LAX,2007,4," 2,482,724 "
Los Angeles International,LAX,2007,5," 2,544,905 "
Los Angeles International,LAX,2007,6," 2,762,072 "
Los Angeles International,LAX,2007,7," 2,900,526 "
Los Angeles International,LAX,2007,8," 2,904,962 "
Los Angeles International,LAX,2007,9," 2,295,347 "
Los Angeles International,LAX,2007,10," 2,421,094 "
Los Angeles International,LAX,2007,11," 2,394,923 "
Los Angeles International,LAX,2007,12," 2,518,889 "
Los Angeles International,LAX,2007,TOTAL," 30,082,599 "
Los Angeles International,LAX,2008,1," 2,297,585 "
Los Angeles International,LAX,2008,2," 2,133,897 "
Los Angeles International,LAX,2008,3," 2,515,538 "
Los Angeles International,LAX,2008,4," 2,364,516 "
Los Angeles International,LAX,2008,5," 2,541,685 "
Los Angeles International,LAX,2008,6," 2,735,413 "
Los Angeles International,LAX,2008,7," 2,783,292 "
Los Angeles International,LAX,2008,8," 2,761,508 "
Los Angeles International,LAX,2008,9," 2,123,371 "
Los Angeles International,LAX,2008,10," 2,244,088 "
Los Angeles International,LAX,2008,11," 2,064,806 "
Los Angeles International,LAX,2008,12," 2,257,864 "
Los Angeles International,LAX,2008,TOTAL," 28,823,563 "
Los Angeles International,LAX,2009,1," 2,016,312 "
Los Angeles International,LAX,2009,2," 1,844,625 "
Los Angeles International,LAX,2009,3," 2,238,717 "
Los Angeles International,LAX,2009,4," 2,254,223 "
Los Angeles International,LAX,2009,5," 2,258,881 "
Los Angeles International,LAX,2009,6," 2,500,651 "
Los Angeles International,LAX,2009,7," 2,694,197 "
Los Angeles International,LAX,2009,8," 2,642,254 "
Los Angeles International,LAX,2009,9," 2,179,914 "
Los Angeles International,LAX,2009,10," 2,315,391 "
Los Angeles International,LAX,2009,11," 2,157,901 "
Los Angeles International,LAX,2009,12," 2,365,078 "
Los Angeles International,LAX,2009,TOTAL," 27,468,144 "
Los Angeles International,LAX,2010,1," 2,166,631 "
Los Angeles International,LAX,2010,2," 1,918,693 "
Los Angeles International,LAX,2010,3," 2,372,619 "
Los Angeles International,LAX,2010,4," 2,317,565 "
Los Angeles International,LAX,2010,5," 2,425,707 "
Los Angeles International,LAX,2010,6," 2,666,618 "
Los Angeles International,LAX,2010,7," 2,779,545 "
Los Angeles International,LAX,2010,8," 2,742,235 "
Los Angeles International,LAX,2010,9," 2,295,766 "
Los Angeles International,LAX,2010,10," 2,420,248 "
Los Angeles International,LAX,2010,11," 2,300,553 "
Los Angeles International,LAX,2010,12," 2,421,514 "
Los Angeles International,LAX,2010,TOTAL," 28,827,694 "
Los Angeles International,LAX,2011,1," 2,249,010 "
Los Angeles International,LAX,2011,2," 2,028,398 "
Los Angeles International,LAX,2011,3," 2,456,094 "
Los Angeles International,LAX,2011,4," 2,463,458 "
Los Angeles International,LAX,2011,5," 2,627,196 "
Los Angeles International,LAX,2011,6," 2,824,978 "
Los Angeles International,LAX,2011,7," 2,978,256 "
Los Angeles International,LAX,2011,8," 2,904,752 "
Los Angeles International,LAX,2011,9," 2,472,252 "
Los Angeles International,LAX,2011,10," 2,550,717 "
Los Angeles International,LAX,2011,11," 2,405,136 "
Los Angeles International,LAX,2011,12," 2,544,779 "
Los Angeles International,LAX,2011,TOTAL," 30,505,026 "
Los Angeles International,LAX,2012,1," 2,382,571 "
Los Angeles International,LAX,2012,2," 2,191,997 "
Los Angeles International,LAX,2012,3," 2,609,655 "
Los Angeles International,LAX,2012,4," 2,540,879 "
Los Angeles International,LAX,2012,5," 2,654,838 "
Los Angeles International,LAX,2012,6," 2,870,391 "
Los Angeles International,LAX,2012,7," 3,013,312 "
Los Angeles International,LAX,2012,8," 2,985,066 "
Los Angeles International,LAX,2012,9," 2,476,378 "
Los Angeles International,LAX,2012,10," 2,560,343 "
Los Angeles International,LAX,2012,11," 2,435,564 "
Los Angeles International,LAX,2012,12," 2,559,420 "
Los Angeles International,LAX,2012,TOTAL," 31,280,414 "
Los Angeles International,LAX,2013,1," 2,395,018 "
Los Angeles International,LAX,2013,2," 2,157,939 "
Los Angeles International,LAX,2013,3," 2,653,755 "
Los Angeles International,LAX,2013,4," 2,586,235 "
Los Angeles International,LAX,2013,5," 2,790,145 "
Los Angeles International,LAX,2013,6," 3,024,497 "
Los Angeles International,LAX,2013,7," 3,129,016 "
Los Angeles International,LAX,2013,8," 3,090,439 "
Los Angeles International,LAX,2013,9," 2,568,965 "
Los Angeles International,LAX,2013,10," 2,711,500 "
Los Angeles International,LAX,2013,11," 2,490,851 "
Los Angeles International,LAX,2013,12," 2,815,561 "
Los Angeles International,LAX,2013,TOTAL," 32,413,921 "
Los Angeles International,LAX,2014,1," 2,614,604 "
Los Angeles International,LAX,2014,2," 2,289,197 "
Los Angeles International,LAX,2014,3," 2,823,600 "
Los Angeles International,LAX,2014,4," 2,760,561 "
Los Angeles International,LAX,2014,5," 2,957,792 "
Los Angeles International,LAX,2014,6," 3,174,602 "
Los Angeles International,LAX,2014,7," 3,306,900 "
Los Angeles International,LAX,2014,8," 3,277,674 "
Los Angeles International,LAX,2014,9," 2,693,024 "
Los Angeles International,LAX,2014,10," 2,853,015 "
Los Angeles International,LAX,2014,11," 2,671,214 "
Los Angeles International,LAX,2014,12," 2,895,573 "
Los Angeles International,LAX,2014,TOTAL," 34,317,756 "
Los Angeles International,LAX,2015,1," 2,659,513 "
Los Angeles International,LAX,2015,2," 2,426,750 "
Los Angeles International,LAX,2015,3," 2,976,595 "
Los Angeles International,LAX,2015,4," 2,877,010 "
Los Angeles International,LAX,2015,5," 3,089,487 "
Los Angeles International,LAX,2015,6," 3,345,353 "
Los Angeles International,LAX,2015,7," 3,508,195 "
Los Angeles International,LAX,2015,8," 3,460,331 "
Los Angeles International,LAX,2015,9," 2,928,216 "
Los Angeles International,LAX,2015,10," 3,117,027 "
Los Angeles International,LAX,2015,11," 2,923,328 "
Los Angeles International,LAX,2015,12," 3,125,742 "
Los Angeles International,LAX,2015,TOTAL," 36,437,547 "
Los Angeles International,LAX,2016,1," 2,874,780 "
Los Angeles International,LAX,2016,2," 2,673,862 "
Los Angeles International,LAX,2016,3," 3,186,298 "
Los Angeles International,LAX,2016,4," 3,067,023 "
Los Angeles International,LAX,2016,5," 3,321,598 "
Los Angeles International,LAX,2016,6," 3,732,628 "
Los Angeles International,LAX,2016,7," 3,850,553 "
Los Angeles International,LAX,2016,8," 3,710,845 "
Los Angeles International,LAX,2016,9," 3,240,707 "
Los Angeles International,LAX,2016,10," 3,358,035 "
Los Angeles International,LAX,2016,11," 3,200,439 "
Los Angeles International,LAX,2016,12," 3,389,198 "
Los Angeles International,LAX,2016,TOTAL," 39,605,966 "
Los Angeles International,LAX,2017,1," 3,090,871 "
Los Angeles International,LAX,2017,2," 2,752,122 "
Los Angeles International,LAX,2017,3," 3,334,102 "
Los Angeles International,LAX,2017,4," 3,351,041 "
Los Angeles International,LAX,2017,5," 3,496,335 "
Los Angeles International,LAX,2017,6," 3,831,405 "
Los Angeles International,LAX,2017,7," 3,934,293 "
Los Angeles International,LAX,2017,8," 3,857,589 "
Los Angeles International,LAX,2017,9," 3,285,789 "
Los Angeles International,LAX,2017,10," 3,481,740 "
Los Angeles International,LAX,2017,11," 3,308,062 "
Los Angeles International,LAX,2017,12," 3,478,019 "
Los Angeles International,LAX,2017,TOTAL," 41,201,368 "
Los Angeles International,LAX,2018,1," 3,196,356 "
Los Angeles International,LAX,2018,2," 2,950,653 "
Los Angeles International,LAX,2018,3," 3,559,029 "
Los Angeles International,LAX,2018,4," 3,461,659 "
Los Angeles International,LAX,2018,5," 3,713,675 "
Los Angeles International,LAX,2018,6," 3,983,870 "
Los Angeles International,LAX,2018,7," 4,066,465 "
Los Angeles International,LAX,2018,8," 3,957,892 "
Los Angeles International,LAX,2018,9," 3,331,632 "
Los Angeles International,LAX,2018,10," 3,550,746 "
Los Angeles International,LAX,2018,11," 3,392,058 "
Los Angeles International,LAX,2018,12," 3,544,356 "
Los Angeles International,LAX,2018,TOTAL," 42,708,391 "
Los Angeles International,LAX,2019,1," 3,235,417 "
Los Angeles International,LAX,2019,2," 2,961,371 "
Los Angeles International,LAX,2019,3," 3,626,732 "
Los Angeles International,LAX,2019,4," 3,478,630 "
Los Angeles International,LAX,2019,5," 3,739,384 "
Los Angeles International,LAX,2019,6," 4,015,805 "
Los Angeles International,LAX,2019,7," 4,076,116 "
Los Angeles International,LAX,2019,8," 3,936,915 "
Los Angeles International,LAX,2019,9," 3,399,994 "
Los Angeles International,LAX,2019,10," 3,497,202 "
Los Angeles International,LAX,2019,11," 3,326,902 "
Los Angeles International,LAX,2019,12," 3,645,505 "
Los Angeles International,LAX,2019,TOTAL," 42,939,973 "
Los Angeles International,LAX,2020,1," 3,221,970 "
Los Angeles International,LAX,2020,2," 2,817,087 "
Los Angeles International,LAX,2020,3," 1,598,446 "
Los Angeles International,LAX,2020,4," 166,779 "
Los Angeles International,LAX,2020,5," 281,706 "
Los Angeles International,LAX,2020,6," 512,995 "
Los Angeles International,LAX,2020,7," 759,948 "
Los Angeles International,LAX,2020,8," 833,023 "
Los Angeles International,LAX,2020,9," 857,244 "
Los Angeles International,LAX,2020,10," 1,005,923 "
Los Angeles International,LAX,2020,11," 990,542 "
Los Angeles International,LAX,2020,12," 983,387 "
Los Angeles International,LAX,2020,TOTAL," 14,029,050 "
Los Angeles International,LAX,2021,1," 794,417 "
Los Angeles International,LAX,2021,2," 790,273 "
Los Angeles International,LAX,2021,3," 1,294,794 "
Los Angeles International,LAX,2021,4," 1,509,930 "
Los Angeles International,LAX,2021,5," 2,001,279 "
Los Angeles International,LAX,2021,6," 2,463,031 "
Los Angeles International,LAX,2021,7," 2,742,570 "
Los Angeles International,LAX,2021,8," 2,477,024 "
Los Angeles International,LAX,2021,9," 2,145,455 "
Los Angeles International,LAX,2021,10," 2,390,127 "
Los Angeles International,LAX,2021,11," 2,434,468 "
Los Angeles International,LAX,2021,12," 2,585,278 "
Los Angeles International,LAX,2021,TOTAL," 23,628,646 "
Los Angeles International,LAX,2022,1," 1,893,249 "
Los Angeles International,LAX,2022,2,
Los Angeles International,LAX,2022,3,
Los Angeles International,LAX,2022,4,
Los Angeles International,LAX,2022,TOTAL," 1,893,249 "
