Airport,Airport Code,Year,Month,TOTAL
McCarran International,LAS,2002,10,"1,240,620"
McCarran International,LAS,2002,11,"1,210,897"
McCarran International,LAS,2002,12,"1,205,522"
McCarran International,LAS,2002,TOTAL,"15,378,182"
McCarran International,LAS,2003,1,"1,284,982"
McCarran International,LAS,2003,2,"1,209,598"
McCarran International,LAS,2003,3,"1,431,436"
McCarran International,LAS,2003,4,"1,321,411"
McCarran International,LAS,2003,5,"1,380,247"
McCarran International,LAS,2003,6,"1,427,110"
McCarran International,LAS,2003,7,"1,477,744"
McCarran International,LAS,2003,8,"1,499,062"
McCarran International,LAS,2003,9,"1,352,794"
McCarran International,LAS,2003,10,"1,479,136"
McCarran International,LAS,2003,11,"1,379,786"
McCarran International,LAS,2003,12,"1,303,422"
McCarran International,LAS,2003,TOTAL,"16,546,728"
McCarran International,LAS,2004,1,"1,372,795"
McCarran International,LAS,2004,2,"1,410,766"
McCarran International,LAS,2004,3,"1,667,685"
McCarran International,LAS,2004,4,"1,633,333"
McCarran International,LAS,2004,5,"1,677,932"
McCarran International,LAS,2004,6,"1,648,241"
McCarran International,LAS,2004,7,"1,691,907"
McCarran International,LAS,2004,8,"1,696,925"
McCarran International,LAS,2004,9,"1,567,007"
McCarran International,LAS,2004,10,"1,715,253"
McCarran International,LAS,2004,11,"1,605,000"
McCarran International,LAS,2004,12,"1,516,749"
McCarran International,LAS,2004,TOTAL,"19,203,593"
McCarran International,LAS,2005,1,"1,559,590"
McCarran International,LAS,2005,2,"1,458,208"
McCarran International,LAS,2005,3,"1,814,184"
McCarran International,LAS,2005,4,"1,742,054"
McCarran International,LAS,2005,5,"1,862,874"
McCarran International,LAS,2005,6,"1,794,084"
McCarran International,LAS,2005,7,"1,868,127"
McCarran International,LAS,2005,8,"1,835,446"
McCarran International,LAS,2005,9,"1,686,419"
McCarran International,LAS,2005,10,"1,825,018"
McCarran International,LAS,2005,11,"1,730,291"
McCarran International,LAS,2005,12,"1,642,408"
McCarran International,LAS,2005,TOTAL,"20,818,703"
McCarran International,LAS,2006,1,"1,665,506"
McCarran International,LAS,2006,2,"1,598,209"
McCarran International,LAS,2006,3,"1,908,543"
McCarran International,LAS,2006,4,"1,852,638"
McCarran International,LAS,2006,5,"1,871,279"
McCarran International,LAS,2006,6,"1,855,436"
McCarran International,LAS,2006,7,"1,904,595"
McCarran International,LAS,2006,8,"1,869,886"
McCarran International,LAS,2006,9,"1,711,325"
McCarran International,LAS,2006,10,"1,882,308"
McCarran International,LAS,2006,11,"1,780,253"
McCarran International,LAS,2006,12,"1,730,611"
McCarran International,LAS,2006,TOTAL,"21,630,589"
McCarran International,LAS,2007,1,"1,713,412"
McCarran International,LAS,2007,2,"1,595,604"
McCarran International,LAS,2007,3,"1,936,717"
McCarran International,LAS,2007,4,"1,873,707"
McCarran International,LAS,2007,5,"1,929,933"
McCarran International,LAS,2007,6,"1,934,723"
McCarran International,LAS,2007,7,"1,982,639"
McCarran International,LAS,2007,8,"1,983,549"
McCarran International,LAS,2007,9,"1,800,098"
McCarran International,LAS,2007,10,"1,910,409"
McCarran International,LAS,2007,11,"1,770,500"
McCarran International,LAS,2007,12,"1,722,451"
McCarran International,LAS,2007,TOTAL,"22,153,742"
McCarran International,LAS,2008,1,"1,690,847"
McCarran International,LAS,2008,2,"1,690,992"
McCarran International,LAS,2008,3,"1,952,617"
McCarran International,LAS,2008,4,"1,801,159"
McCarran International,LAS,2008,5,"1,867,166"
McCarran International,LAS,2008,6,"1,835,651"
McCarran International,LAS,2008,7,"1,824,914"
McCarran International,LAS,2008,8,"1,815,405"
McCarran International,LAS,2008,9,"1,588,908"
McCarran International,LAS,2008,10,"1,668,175"
McCarran International,LAS,2008,11,"1,538,576"
McCarran International,LAS,2008,12,"1,475,409"
McCarran International,LAS,2008,TOTAL,"20,749,819"
McCarran International,LAS,2009,1,"1,443,955"
McCarran International,LAS,2009,2,"1,437,243"
McCarran International,LAS,2009,3,"1,754,259"
McCarran International,LAS,2009,4,"1,704,547"
McCarran International,LAS,2009,5,"1,682,207"
McCarran International,LAS,2009,6,"1,647,546"
McCarran International,LAS,2009,7,"1,669,916"
McCarran International,LAS,2009,8,"1,664,461"
McCarran International,LAS,2009,9,"1,578,792"
McCarran International,LAS,2009,10,"1,655,099"
McCarran International,LAS,2009,11,"1,561,895"
McCarran International,LAS,2009,12,"1,434,955"
McCarran International,LAS,2009,TOTAL,"19,234,875"
McCarran International,LAS,2010,1,"1,447,774"
McCarran International,LAS,2010,2,"1,341,250"
McCarran International,LAS,2010,3,"1,674,923"
McCarran International,LAS,2010,4,"1,593,989"
McCarran International,LAS,2010,5,"1,665,486"
McCarran International,LAS,2010,6,"1,612,354"
McCarran International,LAS,2010,7,"1,648,801"
McCarran International,LAS,2010,8,"1,668,013"
McCarran International,LAS,2010,9,"1,525,432"
McCarran International,LAS,2010,10,"1,700,041"
McCarran International,LAS,2010,11,"1,539,695"
McCarran International,LAS,2010,12,"1,432,009"
McCarran International,LAS,2010,TOTAL,"18,849,767"
McCarran International,LAS,2011,1,"1,526,605"
McCarran International,LAS,2011,2,"1,369,322"
McCarran International,LAS,2011,3,"1,682,349"
McCarran International,LAS,2011,4,"1,634,098"
McCarran International,LAS,2011,5,"1,750,555"
McCarran International,LAS,2011,6,"1,692,453"
McCarran International,LAS,2011,7,"1,731,147"
McCarran International,LAS,2011,8,"1,728,789"
McCarran International,LAS,2011,9,"1,660,787"
McCarran International,LAS,2011,10,"1,789,379"
McCarran International,LAS,2011,11,"1,601,015"
McCarran International,LAS,2011,12,"1,501,565"
McCarran International,LAS,2011,TOTAL,"19,668,064"
McCarran International,LAS,2012,1,"1,539,148"
McCarran International,LAS,2012,2,"1,458,311"
McCarran International,LAS,2012,3,"1,721,994"
McCarran International,LAS,2012,4,"1,693,809"
McCarran International,LAS,2012,5,"1,736,504"
McCarran International,LAS,2012,6,"1,708,104"
McCarran International,LAS,2012,7,"1,737,935"
McCarran International,LAS,2012,8,"1,712,851"
McCarran International,LAS,2012,9,"1,620,153"
McCarran International,LAS,2012,10,"1,758,112"
McCarran International,LAS,2012,11,"1,587,191"
McCarran International,LAS,2012,12,"1,498,310"
McCarran International,LAS,2012,TOTAL,"19,772,422"
McCarran International,LAS,2013,1,"1,501,117"
McCarran International,LAS,2013,2,"1,408,962"
McCarran International,LAS,2013,3,"1,734,253"
McCarran International,LAS,2013,4,"1,693,735"
McCarran International,LAS,2013,5,"1,768,059"
McCarran International,LAS,2013,6,"1,749,235"
McCarran International,LAS,2013,7,"1,726,915"
McCarran International,LAS,2013,8,"1,699,846"
McCarran International,LAS,2013,9,"1,649,278"
McCarran International,LAS,2013,10,"1,780,880"
McCarran International,LAS,2013,11,"1,583,817"
McCarran International,LAS,2013,12,"1,545,209"
McCarran International,LAS,2013,TOTAL,"19,841,306"
McCarran International,LAS,2014,1,"1,569,888"
McCarran International,LAS,2014,2,"1,442,382"
McCarran International,LAS,2014,3,"1,793,884"
McCarran International,LAS,2014,4,"1,708,844"
McCarran International,LAS,2014,5,"1,788,937"
McCarran International,LAS,2014,6,"1,779,731"
McCarran International,LAS,2014,7,"1,758,186"
McCarran International,LAS,2014,8,"1,761,860"
McCarran International,LAS,2014,9,"1,695,279"
McCarran International,LAS,2014,10,"1,860,435"
McCarran International,LAS,2014,11,"1,627,881"
McCarran International,LAS,2014,12,"1,563,138"
McCarran International,LAS,2014,TOTAL,"20,350,445"
McCarran International,LAS,2015,1,"1,582,582"
McCarran International,LAS,2015,2,"1,502,329"
McCarran International,LAS,2015,3,"1,840,015"
McCarran International,LAS,2015,4,"1,806,224"
McCarran International,LAS,2015,5,"1,904,726"
McCarran International,LAS,2015,6,"1,884,011"
McCarran International,LAS,2015,7,"1,916,968"
McCarran International,LAS,2015,8,"1,922,047"
McCarran International,LAS,2015,9,"1,787,075"
McCarran International,LAS,2015,10,"1,961,344"
McCarran International,LAS,2015,11,"1,813,446"
McCarran International,LAS,2015,12,"1,719,242"
McCarran International,LAS,2015,TOTAL,"21,640,009"
McCarran International,LAS,2016,1,"1,722,661"
McCarran International,LAS,2016,2,"1,623,231"
McCarran International,LAS,2016,3,"1,937,010"
McCarran International,LAS,2016,4,"1,869,870"
McCarran International,LAS,2016,5,"1,977,563"
McCarran International,LAS,2016,6,"1,974,550"
McCarran International,LAS,2016,7,"1,975,349"
McCarran International,LAS,2016,8,"1,962,908"
McCarran International,LAS,2016,9,"1,905,472"
McCarran International,LAS,2016,10,"2,045,254"
McCarran International,LAS,2016,11,"1,860,318"
McCarran International,LAS,2016,12,"1,761,516"
McCarran International,LAS,2016,TOTAL,"22,615,702"
McCarran International,LAS,2017,1,"1,780,212"
McCarran International,LAS,2017,2,"1,633,900"
McCarran International,LAS,2017,3,"1,989,043"
McCarran International,LAS,2017,4,"1,945,779"
McCarran International,LAS,2017,5,"2,016,468"
McCarran International,LAS,2017,6,"1,998,376"
McCarran International,LAS,2017,7,"2,058,015"
McCarran International,LAS,2017,8,"2,037,444"
McCarran International,LAS,2017,9,"1,924,089"
McCarran International,LAS,2017,10,"2,084,628"
McCarran International,LAS,2017,11,"1,875,177"
McCarran International,LAS,2017,12,"1,807,350"
McCarran International,LAS,2017,TOTAL,"23,150,481"
McCarran International,LAS,2018,1,"1,810,708"
McCarran International,LAS,2018,2,"1,694,337"
McCarran International,LAS,2018,3,"2,040,795"
McCarran International,LAS,2018,4,"2,004,903"
McCarran International,LAS,2018,5,"2,081,636"
McCarran International,LAS,2018,6,"2,048,938"
McCarran International,LAS,2018,7,"2,101,977"
McCarran International,LAS,2018,8,"2,041,682"
McCarran International,LAS,2018,9,"1,917,078"
McCarran International,LAS,2018,10,"2,117,497"
McCarran International,LAS,2018,11,"1,952,572"
McCarran International,LAS,2018,12,"1,827,329"
McCarran International,LAS,2018,TOTAL,"23,639,452"
McCarran International,LAS,2019,1,"1,867,582"
McCarran International,LAS,2019,2,"1,706,207"
McCarran International,LAS,2019,3,"2,080,472"
McCarran International,LAS,2019,4,"2,039,312"
McCarran International,LAS,2019,5,"2,174,512"
McCarran International,LAS,2019,6,"2,123,958"
McCarran International,LAS,2019,7,"2,136,224"
McCarran International,LAS,2019,8,"2,088,289"
McCarran International,LAS,2019,9,"2,053,019"
McCarran International,LAS,2019,10,"2,177,023"
McCarran International,LAS,2019,11,"1,977,604"
McCarran International,LAS,2019,12,"1,990,293"
McCarran International,LAS,2019,TOTAL,"24,414,495"
McCarran International,LAS,2020,1,"1,995,352"
McCarran International,LAS,2020,2,"1,833,305"
McCarran International,LAS,2020,3,"1,025,534"
McCarran International,LAS,2020,4,"59,839"
McCarran International,LAS,2020,5,"179,640"
McCarran International,LAS,2020,6,"468,270"
McCarran International,LAS,2020,7,"753,951"
McCarran International,LAS,2020,8,"820,071"
McCarran International,LAS,2020,9,"802,718"
McCarran International,LAS,2020,10,"920,229"
McCarran International,LAS,2020,11,"872,583"
McCarran International,LAS,2020,12,"754,654"
McCarran International,LAS,2020,TOTAL,"10,486,146"
McCarran International,LAS,2021,1,"735,331"
McCarran International,LAS,2021,2,"748,176"
McCarran International,LAS,2021,3,"1,209,228"
McCarran International,LAS,2021,4,"1,369,284"
McCarran International,LAS,2021,5,"1,687,446"
McCarran International,LAS,2021,6,"1,816,258"
McCarran International,LAS,2021,7,"1,993,239"
McCarran International,LAS,2021,8,"1,851,248"
McCarran International,LAS,2021,9,"1,783,945"
McCarran International,LAS,2021,10,"2,004,437"
McCarran International,LAS,2021,11,"1,923,951"
McCarran International,LAS,2021,12,"1,828,519"
McCarran International,LAS,2021,TOTAL,"18,951,062"
McCarran International,LAS,2022,1,
McCarran International,LAS,2022,2,
McCarran International,LAS,2022,3,
McCarran International,LAS,2022,TOTAL,0
