Airport,Airport Code,Year,Month,TOTAL
Miami International,MIA,2002,10,"1,011,456"
Miami International,MIA,2002,11,"1,106,209"
Miami International,MIA,2002,12,"1,285,156"
Miami International,MIA,2002,TOTAL,"13,782,611"
Miami International,MIA,2003,1,"1,235,386"
Miami International,MIA,2003,2,"1,080,258"
Miami International,MIA,2003,3,"1,252,618"
Miami International,MIA,2003,4,"1,114,200"
Miami International,MIA,2003,5,"1,084,858"
Miami International,MIA,2003,6,"1,135,140"
Miami International,MIA,2003,7,"1,261,621"
Miami International,MIA,2003,8,"1,236,315"
Miami International,MIA,2003,9,"888,235"
Miami International,MIA,2003,10,"1,013,398"
Miami International,MIA,2003,11,"1,151,253"
Miami International,MIA,2003,12,"1,294,613"
Miami International,MIA,2003,TOTAL,"13,747,895"
Miami International,MIA,2004,1,"1,280,786"
Miami International,MIA,2004,2,"1,177,356"
Miami International,MIA,2004,3,"1,323,310"
Miami International,MIA,2004,4,"1,233,478"
Miami International,MIA,2004,5,"1,160,671"
Miami International,MIA,2004,6,"1,205,894"
Miami International,MIA,2004,7,"1,319,503"
Miami International,MIA,2004,8,"1,247,504"
Miami International,MIA,2004,9,"803,356"
Miami International,MIA,2004,10,"1,051,318"
Miami International,MIA,2004,11,"1,142,187"
Miami International,MIA,2004,12,"1,276,367"
Miami International,MIA,2004,TOTAL,"14,221,730"
Miami International,MIA,2005,1,"1,325,918"
Miami International,MIA,2005,2,"1,141,392"
Miami International,MIA,2005,3,"1,395,063"
Miami International,MIA,2005,4,"1,219,524"
Miami International,MIA,2005,5,"1,243,198"
Miami International,MIA,2005,6,"1,283,349"
Miami International,MIA,2005,7,"1,382,133"
Miami International,MIA,2005,8,"1,231,725"
Miami International,MIA,2005,9,"1,000,417"
Miami International,MIA,2005,10,"978,295"
Miami International,MIA,2005,11,"1,171,847"
Miami International,MIA,2005,12,"1,358,747"
Miami International,MIA,2005,TOTAL,"14,731,608"
Miami International,MIA,2006,1,"1,377,026"
Miami International,MIA,2006,2,"1,200,414"
Miami International,MIA,2006,3,"1,411,571"
Miami International,MIA,2006,4,"1,361,618"
Miami International,MIA,2006,5,"1,323,613"
Miami International,MIA,2006,6,"1,338,238"
Miami International,MIA,2006,7,"1,405,662"
Miami International,MIA,2006,8,"1,270,071"
Miami International,MIA,2006,9,"1,038,698"
Miami International,MIA,2006,10,"1,124,941"
Miami International,MIA,2006,11,"1,231,883"
Miami International,MIA,2006,12,"1,375,289"
Miami International,MIA,2006,TOTAL,"15,459,024"
Miami International,MIA,2007,1,"1,376,933"
Miami International,MIA,2007,2,"1,213,061"
Miami International,MIA,2007,3,"1,423,635"
Miami International,MIA,2007,4,"1,360,868"
Miami International,MIA,2007,5,"1,337,368"
Miami International,MIA,2007,6,"1,371,543"
Miami International,MIA,2007,7,"1,466,404"
Miami International,MIA,2007,8,"1,402,678"
Miami International,MIA,2007,9,"1,149,148"
Miami International,MIA,2007,10,"1,244,622"
Miami International,MIA,2007,11,"1,299,087"
Miami International,MIA,2007,12,"1,390,364"
Miami International,MIA,2007,TOTAL,"16,035,711"
Miami International,MIA,2008,1,"1,412,240"
Miami International,MIA,2008,2,"1,277,051"
Miami International,MIA,2008,3,"1,491,693"
Miami International,MIA,2008,4,"1,304,409"
Miami International,MIA,2008,5,"1,369,272"
Miami International,MIA,2008,6,"1,381,836"
Miami International,MIA,2008,7,"1,458,117"
Miami International,MIA,2008,8,"1,427,378"
Miami International,MIA,2008,9,"1,131,040"
Miami International,MIA,2008,10,"1,236,908"
Miami International,MIA,2008,11,"1,308,025"
Miami International,MIA,2008,12,"1,412,623"
Miami International,MIA,2008,TOTAL,"16,210,592"
Miami International,MIA,2009,1,"1,424,818"
Miami International,MIA,2009,2,"1,228,552"
Miami International,MIA,2009,3,"1,402,118"
Miami International,MIA,2009,4,"1,376,453"
Miami International,MIA,2009,5,"1,319,815"
Miami International,MIA,2009,6,"1,353,838"
Miami International,MIA,2009,7,"1,458,501"
Miami International,MIA,2009,8,"1,425,676"
Miami International,MIA,2009,9,"1,124,096"
Miami International,MIA,2009,10,"1,231,482"
Miami International,MIA,2009,11,"1,281,459"
Miami International,MIA,2009,12,"1,403,013"
Miami International,MIA,2009,TOTAL,"16,029,821"
Miami International,MIA,2010,1,"1,451,624"
Miami International,MIA,2010,2,"1,240,364"
Miami International,MIA,2010,3,"1,453,193"
Miami International,MIA,2010,4,"1,405,370"
Miami International,MIA,2010,5,"1,400,062"
Miami International,MIA,2010,6,"1,416,751"
Miami International,MIA,2010,7,"1,511,462"
Miami International,MIA,2010,8,"1,480,604"
Miami International,MIA,2010,9,"1,203,466"
Miami International,MIA,2010,10,"1,327,257"
Miami International,MIA,2010,11,"1,374,433"
Miami International,MIA,2010,12,"1,483,632"
Miami International,MIA,2010,TOTAL,"16,748,218"
Miami International,MIA,2011,1,"1,545,190"
Miami International,MIA,2011,2,"1,333,668"
Miami International,MIA,2011,3,"1,547,992"
Miami International,MIA,2011,4,"1,483,476"
Miami International,MIA,2011,5,"1,516,452"
Miami International,MIA,2011,6,"1,512,429"
Miami International,MIA,2011,7,"1,667,238"
Miami International,MIA,2011,8,"1,537,361"
Miami International,MIA,2011,9,"1,309,540"
Miami International,MIA,2011,10,"1,418,129"
Miami International,MIA,2011,11,"1,498,464"
Miami International,MIA,2011,12,"1,611,438"
Miami International,MIA,2011,TOTAL,"17,981,377"
Miami International,MIA,2012,1,"1,682,719"
Miami International,MIA,2012,2,"1,477,798"
Miami International,MIA,2012,3,"1,658,082"
Miami International,MIA,2012,4,"1,602,888"
Miami International,MIA,2012,5,"1,549,604"
Miami International,MIA,2012,6,"1,571,214"
Miami International,MIA,2012,7,"1,679,594"
Miami International,MIA,2012,8,"1,556,758"
Miami International,MIA,2012,9,"1,306,937"
Miami International,MIA,2012,10,"1,370,850"
Miami International,MIA,2012,11,"1,503,314"
Miami International,MIA,2012,12,"1,609,359"
