Airport,Airport Code,Year,Month,TOTAL
San Francisco International,SFO,2002,10,"1,202,178"
San Francisco International,SFO,2002,11,"1,089,868"
San Francisco International,SFO,2002,12,"1,264,427"
San Francisco International,SFO,2002,TOTAL,"14,377,932"
San Francisco International,SFO,2003,1,"1,024,248"
San Francisco International,SFO,2003,2,"931,724"
San Francisco International,SFO,2003,3,"1,104,131"
San Francisco International,SFO,2003,4,"1,037,751"
San Francisco International,SFO,2003,5,"1,104,826"
San Francisco International,SFO,2003,6,"1,279,635"
San Francisco International,SFO,2003,7,"1,394,232"
San Francisco International,SFO,2003,8,"1,430,210"
San Francisco International,SFO,2003,9,"1,130,837"
San Francisco International,SFO,2003,10,"1,220,310"
San Francisco International,SFO,2003,11,"1,160,469"
San Francisco International,SFO,2003,12,"1,254,416"
San Francisco International,SFO,2003,TOTAL,"14,072,789"
San Francisco International,SFO,2004,1,"1,063,254"
San Francisco International,SFO,2004,2,"1,025,375"
San Francisco International,SFO,2004,3,"1,239,045"
San Francisco International,SFO,2004,4,"1,269,136"
San Francisco International,SFO,2004,5,"1,337,242"
San Francisco International,SFO,2004,6,"1,487,805"
San Francisco International,SFO,2004,7,"1,532,173"
San Francisco International,SFO,2004,8,"1,511,730"
San Francisco International,SFO,2004,9,"1,281,950"
San Francisco International,SFO,2004,10,"1,344,398"
San Francisco International,SFO,2004,11,"1,212,491"
San Francisco International,SFO,2004,12,"1,292,306"
San Francisco International,SFO,2004,TOTAL,"15,596,905"
San Francisco International,SFO,2005,1,"1,130,893"
San Francisco International,SFO,2005,2,"1,049,520"
San Francisco International,SFO,2005,3,"1,320,377"
San Francisco International,SFO,2005,4,"1,255,085"
San Francisco International,SFO,2005,5,"1,391,895"
San Francisco International,SFO,2005,6,"1,538,055"
San Francisco International,SFO,2005,7,"1,553,349"
San Francisco International,SFO,2005,8,"1,522,832"
San Francisco International,SFO,2005,9,"1,321,874"
San Francisco International,SFO,2005,10,"1,364,401"
San Francisco International,SFO,2005,11,"1,282,940"
San Francisco International,SFO,2005,12,"1,331,783"
San Francisco International,SFO,2005,TOTAL,"16,063,004"
San Francisco International,SFO,2006,1,"1,155,736"
San Francisco International,SFO,2006,2,"1,076,506"
San Francisco International,SFO,2006,3,"1,321,905"
San Francisco International,SFO,2006,4,"1,351,197"
San Francisco International,SFO,2006,5,"1,382,738"
San Francisco International,SFO,2006,6,"1,543,328"
San Francisco International,SFO,2006,7,"1,554,922"
San Francisco International,SFO,2006,8,"1,509,832"
San Francisco International,SFO,2006,9,"1,329,843"
San Francisco International,SFO,2006,10,"1,379,490"
San Francisco International,SFO,2006,11,"1,299,001"
San Francisco International,SFO,2006,12,"1,349,006"
San Francisco International,SFO,2006,TOTAL,"16,253,504"
San Francisco International,SFO,2007,1,"1,178,009"
San Francisco International,SFO,2007,2,"1,116,475"
San Francisco International,SFO,2007,3,"1,378,433"
San Francisco International,SFO,2007,4,"1,383,530"
San Francisco International,SFO,2007,5,"1,486,032"
San Francisco International,SFO,2007,6,"1,618,681"
San Francisco International,SFO,2007,7,"1,624,049"
San Francisco International,SFO,2007,8,"1,655,020"
San Francisco International,SFO,2007,9,"1,441,161"
San Francisco International,SFO,2007,10,"1,522,291"
San Francisco International,SFO,2007,11,"1,425,860"
San Francisco International,SFO,2007,12,"1,440,964"
San Francisco International,SFO,2007,TOTAL,"17,270,505"
San Francisco International,SFO,2008,1,"1,230,793"
San Francisco International,SFO,2008,2,"1,248,009"
San Francisco International,SFO,2008,3,"1,497,862"
San Francisco International,SFO,2008,4,"1,452,420"
San Francisco International,SFO,2008,5,"1,602,912"
San Francisco International,SFO,2008,6,"1,748,757"
San Francisco International,SFO,2008,7,"1,748,658"
San Francisco International,SFO,2008,8,"1,757,806"
San Francisco International,SFO,2008,9,"1,475,435"
San Francisco International,SFO,2008,10,"1,547,666"
San Francisco International,SFO,2008,11,"1,369,648"
San Francisco International,SFO,2008,12,"1,467,485"
San Francisco International,SFO,2008,TOTAL,"18,147,451"
San Francisco International,SFO,2009,1,"1,270,432"
San Francisco International,SFO,2009,2,"1,165,948"
San Francisco International,SFO,2009,3,"1,441,749"
San Francisco International,SFO,2009,4,"1,485,350"
San Francisco International,SFO,2009,5,"1,576,166"
San Francisco International,SFO,2009,6,"1,728,860"
San Francisco International,SFO,2009,7,"1,785,103"
San Francisco International,SFO,2009,8,"1,779,215"
San Francisco International,SFO,2009,9,"1,563,730"
San Francisco International,SFO,2009,10,"1,621,197"
San Francisco International,SFO,2009,11,"1,481,816"
San Francisco International,SFO,2009,12,"1,545,364"
San Francisco International,SFO,2009,TOTAL,"18,444,930"
San Francisco International,SFO,2010,1,"1,400,593"
San Francisco International,SFO,2010,2,"1,240,088"
San Francisco International,SFO,2010,3,"1,530,067"
San Francisco International,SFO,2010,4,"1,535,357"
San Francisco International,SFO,2010,5,"1,660,668"
San Francisco International,SFO,2010,6,"1,799,498"
San Francisco International,SFO,2010,7,"1,810,984"
San Francisco International,SFO,2010,8,"1,815,236"
San Francisco International,SFO,2010,9,"1,653,295"
San Francisco International,SFO,2010,10,"1,735,635"
San Francisco International,SFO,2010,11,"1,570,324"
San Francisco International,SFO,2010,12,"1,586,928"
San Francisco International,SFO,2010,TOTAL,"19,338,673"
