Airport,Airport Code,Year,Month,TOTAL
Seattle/Tacoma International,SEA,2002,10,"999,931"
Seattle/Tacoma International,SEA,2002,11,"930,528"
Seattle/Tacoma International,SEA,2002,12,"1,111,566"
Seattle/Tacoma International,SEA,2002,TOTAL,"12,869,256"
Seattle/Tacoma International,SEA,2003,1,"889,510"
Seattle/Tacoma International,SEA,2003,2,"852,186"
Seattle/Tacoma International,SEA,2003,3,"992,559"
Seattle/Tacoma International,SEA,2003,4,"985,655"
Seattle/Tacoma International,SEA,2003,5,"1,071,109"
Seattle/Tacoma International,SEA,2003,6,"1,247,065"
Seattle/Tacoma International,SEA,2003,7,"1,388,144"
Seattle/Tacoma International,SEA,2003,8,"1,420,458"
Seattle/Tacoma International,SEA,2003,9,"1,077,476"
Seattle/Tacoma International,SEA,2003,10,"1,035,453"
Seattle/Tacoma International,SEA,2003,11,"990,979"
Seattle/Tacoma International,SEA,2003,12,"1,113,044"
Seattle/Tacoma International,SEA,2003,TOTAL,"13,063,638"
Seattle/Tacoma International,SEA,2004,1,"911,218"
Seattle/Tacoma International,SEA,2004,2,"919,880"
Seattle/Tacoma International,SEA,2004,3,"1,122,365"
Seattle/Tacoma International,SEA,2004,4,"1,112,411"
Seattle/Tacoma International,SEA,2004,5,"1,140,414"
Seattle/Tacoma International,SEA,2004,6,"1,354,037"
Seattle/Tacoma International,SEA,2004,7,"1,459,553"
Seattle/Tacoma International,SEA,2004,8,"1,509,462"
Seattle/Tacoma International,SEA,2004,9,"1,191,833"
Seattle/Tacoma International,SEA,2004,10,"1,096,337"
Seattle/Tacoma International,SEA,2004,11,"1,071,543"
Seattle/Tacoma International,SEA,2004,12,"1,156,412"
Seattle/Tacoma International,SEA,2004,TOTAL,"14,045,465"
Seattle/Tacoma International,SEA,2005,1,"977,316"
Seattle/Tacoma International,SEA,2005,2,"930,568"
Seattle/Tacoma International,SEA,2005,3,"1,142,224"
Seattle/Tacoma International,SEA,2005,4,"1,118,096"
Seattle/Tacoma International,SEA,2005,5,"1,184,356"
Seattle/Tacoma International,SEA,2005,6,"1,363,614"
