Airport,Airport Code,Year,Month,TOTAL
Logan International,BOS,2002,10,"1,016,871"
Logan International,BOS,2002,11,"844,722"
Logan International,BOS,2002,12,"895,011"
Logan International,BOS,2002,TOTAL,"10,717,318"
Logan International,BOS,2003,1,"722,421"
Logan International,BOS,2003,2,"739,795"
Logan International,BOS,2003,3,"871,321"
Logan International,BOS,2003,4,"881,877"
Logan International,BOS,2003,5,"905,567"
Logan International,BOS,2003,6,"1,007,787"
Logan International,BOS,2003,7,"1,045,589"
Logan International,BOS,2003,8,"1,079,481"
Logan International,BOS,2003,9,"871,037"
Logan International,BOS,2003,10,"1,046,356"
Logan International,BOS,2003,11,"897,813"
Logan International,BOS,2003,12,"913,917"
Logan International,BOS,2003,TOTAL,"10,982,961"
Logan International,BOS,2004,1,"770,689"
Logan International,BOS,2004,2,"881,556"
Logan International,BOS,2004,3,"1,021,598"
Logan International,BOS,2004,4,"1,097,896"
Logan International,BOS,2004,5,"1,057,116"
Logan International,BOS,2004,6,"1,170,219"
Logan International,BOS,2004,7,"1,192,284"
Logan International,BOS,2004,8,"1,236,436"
Logan International,BOS,2004,9,"1,003,842"
Logan International,BOS,2004,10,"1,174,885"
Logan International,BOS,2004,11,"1,023,000"
Logan International,BOS,2004,12,"999,251"
Logan International,BOS,2004,TOTAL,"12,628,772"
Logan International,BOS,2005,1,"850,675"
Logan International,BOS,2005,2,"931,604"
Logan International,BOS,2005,3,"1,091,677"
Logan International,BOS,2005,4,"1,153,686"
Logan International,BOS,2005,5,"1,147,713"
Logan International,BOS,2005,6,"1,187,824"
Logan International,BOS,2005,7,"1,237,638"
Logan International,BOS,2005,8,"1,223,825"
Logan International,BOS,2005,9,"1,057,781"
Logan International,BOS,2005,10,"1,136,221"
Logan International,BOS,2005,11,"1,065,748"
Logan International,BOS,2005,12,"1,018,840"
Logan International,BOS,2005,TOTAL,"13,103,232"
Logan International,BOS,2006,1,"904,262"
Logan International,BOS,2006,2,"952,717"
Logan International,BOS,2006,3,"1,164,933"
Logan International,BOS,2006,4,"1,186,709"
Logan International,BOS,2006,5,"1,151,961"
Logan International,BOS,2006,6,"1,205,533"
Logan International,BOS,2006,7,"1,236,907"
Logan International,BOS,2006,8,"1,240,269"
Logan International,BOS,2006,9,"1,069,716"
Logan International,BOS,2006,10,"1,202,845"
Logan International,BOS,2006,11,"1,097,448"
Logan International,BOS,2006,12,"1,053,839"
Logan International,BOS,2006,TOTAL,"13,467,139"
Logan International,BOS,2007,1,"928,312"
Logan International,BOS,2007,2,"941,830"
Logan International,BOS,2007,3,"1,169,377"
Logan International,BOS,2007,4,"1,199,274"
Logan International,BOS,2007,5,"1,203,195"
Logan International,BOS,2007,6,"1,271,267"
Logan International,BOS,2007,7,"1,283,425"
Logan International,BOS,2007,8,"1,334,035"
Logan International,BOS,2007,9,"1,077,126"
Logan International,BOS,2007,10,"1,223,165"
Logan International,BOS,2007,11,"1,085,643"
Logan International,BOS,2007,12,"984,991"
Logan International,BOS,2007,TOTAL,"13,701,640"
Logan International,BOS,2008,1,"880,155"
Logan International,BOS,2008,2,"950,726"
Logan International,BOS,2008,3,"1,093,784"
Logan International,BOS,2008,4,"1,150,854"
Logan International,BOS,2008,5,"1,127,487"
Logan International,BOS,2008,6,"1,187,659"
Logan International,BOS,2008,7,"1,201,075"
Logan International,BOS,2008,8,"1,235,984"
Logan International,BOS,2008,9,"981,063"
Logan International,BOS,2008,10,"1,080,352"
Logan International,BOS,2008,11,"917,066"
Logan International,BOS,2008,12,"950,178"
Logan International,BOS,2008,TOTAL,"12,756,383"
Logan International,BOS,2009,1,"775,357"
Logan International,BOS,2009,2,"843,731"
Logan International,BOS,2009,3,"989,220"
Logan International,BOS,2009,4,"1,074,625"
Logan International,BOS,2009,5,"1,058,746"
Logan International,BOS,2009,6,"1,127,333"
Logan International,BOS,2009,7,"1,229,997"
Logan International,BOS,2009,8,"1,251,516"
Logan International,BOS,2009,9,"1,042,245"
Logan International,BOS,2009,10,"1,149,904"
Logan International,BOS,2009,11,"986,697"
Logan International,BOS,2009,12,"1,004,647"
Logan International,BOS,2009,TOTAL,"12,534,018"
Logan International,BOS,2010,1,"859,622"
Logan International,BOS,2010,2,"879,326"
Logan International,BOS,2010,3,"1,085,010"
Logan International,BOS,2010,4,"1,158,262"
Logan International,BOS,2010,5,"1,152,495"
Logan International,BOS,2010,6,"1,212,625"
Logan International,BOS,2010,7,"1,283,848"
Logan International,BOS,2010,8,"1,335,337"
Logan International,BOS,2010,9,"1,138,551"
Logan International,BOS,2010,10,"1,274,606"
Logan International,BOS,2010,11,"1,118,777"
Logan International,BOS,2010,12,"1,043,328"
