STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF5,WSF5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-01,7.8,4.99,2.8,41.8,46.2,37.3,200,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-02,8.7,3.06,2.0,39.3,45.0,33.5,200,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-03,9.8,6.29,0.0,45.2,51.4,38.9,200,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-04,8.5,4.47,0.0,45.5,52.2,38.8,160,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-05,7.2,3.20,0.0,52.3,59.7,44.9,220,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-06,6.9,1.42,0.0,59.4,67.6,51.2,220,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-07,7.6,0.70,0.0,64.1,73.6,54.8,220,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-08,5.8,0.13,0.0,65.8,75.8,55.8,220,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-09,6.3,1.30,0.0,64.0,73.5,54.5,210,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-10,6.3,3.45,0.0,52.2,58.0,46.4,210,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-11,7.8,5.16,0.0,43.1,49.3,36.8,230,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2011-12,5.8,2.25,0.0,39.2,44.3,34.0,200,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-01,8.7,6.82,9.6,39.7,44.7,34.8,230,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-02,8.7,3.63,0.0,43.2,48.7,37.8,210,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-03,9.4,7.20,0.9,43.2,49.2,37.1,190,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-04,7.6,2.68,0.0,50.8,58.8,42.8,220,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-05,7.6,2.06,0.0,55.3,63.8,46.7,200,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-06,6.9,2.96,0.0,58.3,65.6,50.9,210,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-07,6.5,1.04,0.0,64.3,73.2,55.3,210,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-08,6.3,0.00,0.0,67.9,78.5,57.2,340,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-09,5.8,0.04,0.0,62.7,73.2,52.2,20,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-10,7.8,6.70,0.0,53.8,60.5,47.1,210,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-11,7.2,8.29,0.0,46.9,52.4,41.4,200,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2012-12,8.5,6.85,0.6,41.5,45.0,37.9,220,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-01,6.5,4.16,0.0,38.2,43.0,33.4,190,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-02,8.1,1.59,0.0,44.4,49.0,39.8,210,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-03,7.8,2.74,0.0,47.9,54.9,41.0,200,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-04,8.3,5.89,0.0,50.8,57.6,44.1,10,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-05,7.2,2.38,0.0,58.6,67.3,49.9,230,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-06,6.7,1.30,0.0,64.8,73.8,55.7,200,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-07,6.0,0.00,0.0,68.0,79.0,57.1,30,25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-08,5.6,1.35,0.0,69.4,79.0,59.9,160,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-09,6.7,6.17,0.0,63.5,70.4,56.5,220,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-10,5.1,1.54,0.0,51.7,57.6,45.8,350,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-11,7.2,3.79,0.0,47.9,53.7,42.1,210,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2013-12,6.0,1.67,1.1,39.7,44.6,34.8,210,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-01,7.4,3.70,0.0,44.3,49.3,39.4,200,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-02,10.1,6.11,2.9,41.8,46.8,36.8,220,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-03,8.3,9.45,0.0,48.5,55.2,41.8,190,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-04,8.3,4.18,0.0,52.0,59.8,44.1,310,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-05,7.2,3.15,0.0,59.1,67.8,50.4,210,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-06,7.2,0.74,0.0,62.0,70.9,53.2,220,31
